listing_id,user_id,listing_type,property_type,bedrooms,bathrooms,parking_spaces,land_area_sqm,floor_area_sqm,year_built,region,city,suburb,asking_price,price_display,status,listed_date,sold_date,view_count,enquiry_count,rateable_value
44,8252,Sale,House,2,2,2,676.9,348.5,1942,Northland,Kerikeri,South,382210.08,"$382,210",sold,2024-09-02 00:53:01,2024-09-19 00:53:01,2408,242,"$355,529"
45,8693,Sale,Townhouse,2,1,3,925.5,283.3,NULL,Bay of Plenty,Rotorua,Central,1474377.1,$1.47M,expired,2025-07-13 19:10:46,NULL,1581,73,"$1,162,484"
46,8220,Sale,Apartment,2,1,1,NULL,99.5,1974,Wellington,Lower Hutt,Stokes Valley,533948.31,"$533,948",sold,2025-12-16 01:37:47,2026-01-31 01:37:47,914,37,"$462,562"
47,7215,Tender,Section,NULL,NULL,NULL,836.7,NULL,1947,Taranaki,Hawera,East,242155.83,Tender,sold,2025-01-11 18:30:08,2025-02-12 18:30:08,1897,127,"$203,579"
48,1647,Rent,Townhouse,3,2,3,256.9,279.8,NULL,Wellington,Upper Hutt,South,1197.54,$1197pw,expired,2025-05-10 19:08:37,NULL,1805,196,NULL
49,8151,Sale,Lifestyle,3,3,2,74230.4,245.9,NULL,Auckland,Papakura,South,1046017.78,$1.05M,sold,2026-02-04 12:01:59,2026-03-31 12:01:59,603,21,"$758,058"
50,7653,Auction,Unit,5,3,3,NULL,196.1,1980,Canterbury,Ashburton,West,NULL,Auction,withdrawn,2024-10-09 08:05:18,NULL,1599,69,NULL
51,7046,Rent,Section,NULL,NULL,NULL,1821.4,NULL,1960,Auckland,Papakura,North,622.13,$622pw,expired,2025-08-23 09:58:30,NULL,1679,169,NULL
52,8997,Sale,Apartment,2,1,0,NULL,66.4,1977,Auckland,Papakura,North,853974.45,"$853,974",withdrawn,2024-11-24 13:06:40,NULL,3456,249,"$655,797"
53,7586,Rent,Unit,4,1,2,NULL,222.4,2021,Waikato,Tauranga,Papamoa,988.56,$988pw,sold,2025-12-07 13:11:38,2026-03-31 13:11:38,1392,95,NULL
54,7122,Sale,Apartment,1,1,1,NULL,53.0,1928,Auckland,Waitakere,North,790911.97,"$790,911",sold,2025-11-21 23:01:59,2025-12-07 23:01:59,1872,61,"$575,224"
55,7851,Rent,House,5,2,1,1048.4,298.0,1955,Auckland,Manukau,South,505.83,$505pw,sold,2025-08-18 08:04:21,2025-09-16 08:04:21,1729,67,NULL
56,8879,Rent,House,3,1,3,854.3,232.8,2009,Auckland,Auckland City,Parnell,906.95,$906pw,sold,2025-05-18 21:35:56,2025-09-10 21:35:56,1598,112,NULL
57,8230,Deadline Sale,House,5,1,2,351.8,205.4,2003,Hawkes Bay,Hastings,Central,553601.05,"$553,601",withdrawn,2025-08-17 11:43:00,NULL,1419,135,"$472,739"
58,8426,Sale,Townhouse,2,3,2,418.8,86.8,NULL,Northland,Kaitaia,East,852321.28,"$852,321",sold,2026-07-07 05:16:38,2026-07-26 05:16:38,312,34,"$785,482"
59,8503,Auction,House,5,2,2,637.0,233.7,1973,Canterbury,Christchurch,Ilam,1236865.04,Auction,expired,2025-10-13 13:45:04,NULL,1852,181,"$975,097"
60,8519,Tender,Apartment,1,1,1,NULL,115.4,1928,Auckland,North Shore,Browns Bay,536032.85,Tender,expired,2025-01-06 23:22:44,NULL,4661,373,"$504,120"
61,9851,Tender,Apartment,1,2,2,NULL,107.5,1966,Otago,Queenstown,Frankton,NULL,Tender,sold,2024-01-06 05:21:11,2024-02-29 05:21:11,3083,260,NULL
62,7241,Sale,Rural,4,2,3,51817.8,234.8,1929,Otago,Queenstown,Jack's Point,2047943.12,$2.05M,expired,2023-08-27 09:23:16,NULL,4242,193,"$1,944,174"
63,8699,Sale,House,4,2,2,254.1,340.1,1968,Bay of Plenty,Mount Maunganui,North,861980.07,"$861,980",under_offer,2025-05-13 19:57:39,NULL,2586,117,"$729,986"
64,7952,Rent,House,2,2,2,860.2,188.2,1998,Bay of Plenty,Whakatane,South,1105.93,$1105pw,under_offer,2024-08-18 21:35:40,NULL,1887,199,NULL
65,8880,Auction,House,4,2,2,1187.1,86.7,NULL,Canterbury,Selwyn,West,NULL,Auction,expired,2023-08-12 10:07:03,NULL,5550,627,NULL
66,7290,Auction,Apartment,1,1,0,NULL,143.3,2023,Bay of Plenty,Mount Maunganui,North,NULL,Auction,sold,2023-09-05 20:48:09,2023-11-23 20:48:09,3630,426,NULL
67,8706,Auction,House,4,1,3,805.0,135.8,1944,Taranaki,Stratford,North,460303.42,Auction,active,2026-07-25 05:18:50,NULL,84,5,"$436,977"
68,2001,Rent,Apartment,1,1,2,NULL,130.7,1928,Canterbury,Ashburton,West,987.02,$987pw,sold,2025-04-04 14:44:35,2025-04-28 14:44:35,1043,46,NULL
69,8372,Sale,Townhouse,3,2,2,416.6,239.6,1999,Waikato,Cambridge,North,1013811.88,$1.01M,sold,2025-11-25 10:10:03,2025-12-24 10:10:03,843,76,"$862,687"
70,1041,Sale,House,3,3,1,300.4,277.4,2000,Bay of Plenty,Whakatane,East,1004067.3,$1.00M,expired,2024-09-15 20:49:02,NULL,3079,321,"$947,159"
71,8259,Rent,House,2,2,2,795.8,268.8,1983,Northland,Paihia,Central,516.19,$516pw,expired,2026-03-25 02:47:05,NULL,877,45,NULL
72,8996,Rent,House,4,2,1,753.9,181.9,1962,Auckland,Papakura,South,847.22,$847pw,sold,2025-10-26 07:46:09,2025-12-26 07:46:09,1817,139,NULL
73,7161,Tender,Rural,3,1,3,54984.0,106.9,1999,Canterbury,Timaru,West,623387.73,Tender,expired,2025-10-27 20:07:21,NULL,949,83,"$530,147"
74,8432,Sale,House,3,1,1,558.3,341.7,1931,Manawatu-Wanganui,Whanganui,South,742308.29,"$742,308",under_offer,2024-02-13 02:06:12,NULL,3263,271,"$569,313"
75,7670,Sale,Rural,3,2,3,93875.5,295.9,2017,Hawkes Bay,Hastings,East,821547.91,"$821,547",expired,2024-12-15 03:42:04,NULL,1631,189,"$605,165"
76,8936,Rent,Rural,4,1,3,15286.4,344.8,2005,Waikato,Cambridge,North,691.16,$691pw,under_offer,2025-09-20 13:07:59,NULL,2008,227,NULL
77,7496,Sale,House,3,2,1,306.5,198.7,1954,Wellington,Upper Hutt,West,1246610.32,$1.25M,sold,2024-12-26 09:35:17,2025-03-15 09:35:17,3706,398,"$1,153,187"
78,7441,Sale,Apartment,1,2,0,NULL,102.3,1933,Canterbury,Ashburton,East,395668.47,"$395,668",sold,2024-08-29 21:42:09,2024-09-23 21:42:09,2445,221,"$303,775"
79,8947,Rent,House,3,2,2,723.2,230.9,1988,Wellington,Lower Hutt,Stokes Valley,426.9,$426pw,sold,2024-02-13 13:43:53,2024-05-01 13:43:53,3464,197,NULL
80,8998,Sale,Section,NULL,NULL,NULL,1188.8,NULL,1995,Waikato,Rotorua,South,527314.69,"$527,314",sold,2024-10-09 17:24:47,2024-11-22 17:24:47,2641,273,"$487,140"
81,7205,Tender,Rural,3,3,2,63432.2,238.1,NULL,Otago,Wanaka,West,660081.85,Tender,sold,2026-01-20 21:47:20,2026-03-19 21:47:20,1122,102,"$469,061"
82,8700,Rent,House,4,2,3,497.3,267.5,1941,Auckland,Auckland City,Herne Bay,562.13,$562pw,under_offer,2024-06-23 14:53:17,NULL,2057,216,NULL
83,7256,Sale,Rural,3,3,2,47797.7,326.1,2006,Wellington,Lower Hutt,Eastbourne,2220577.06,$2.22M,withdrawn,2024-09-05 08:40:12,NULL,5427,477,"$1,773,485"
84,6513,Sale,Apartment,1,2,1,NULL,77.4,2014,Otago,Wanaka,East,741115.29,"$741,115",expired,2026-03-07 16:12:16,NULL,669,79,"$648,149"
85,8605,Sale,Rural,3,1,2,47467.6,185.2,1998,Otago,Dunedin,Maori Hill,617931.3,"$617,931",sold,2024-04-03 16:08:11,2024-07-02 16:08:11,4789,544,"$559,508"
86,7761,Deadline Sale,House,2,2,2,1151.6,225.9,1953,Otago,Queenstown,Kelvin Heights,1559695.48,$1.56M,sold,2025-06-02 06:31:42,2025-07-12 06:31:42,1167,63,"$1,416,083"
87,8335,Rent,Townhouse,4,1,2,538.4,136.1,2021,Auckland,Franklin,West,933.52,$933pw,sold,2023-10-13 03:38:10,2024-01-23 03:38:10,2831,254,NULL
88,7374,Deadline Sale,House,4,3,3,1126.5,331.0,1938,Canterbury,Timaru,West,914085.27,"$914,085",sold,2024-11-24 15:38:30,2025-01-05 15:38:30,1928,197,"$745,497"
89,7887,Rent,Townhouse,4,2,2,607.0,319.5,1974,Auckland,Papakura,East,648.98,$648pw,sold,2024-08-08 09:40:09,2024-08-26 09:40:09,1650,55,NULL
90,7700,Deadline Sale,House,3,2,1,964.2,295.9,1934,Otago,Wanaka,South,1446349.59,$1.45M,sold,2025-10-22 05:47:26,2026-01-20 05:47:26,2423,209,"$1,304,298"
91,7048,Rent,House,2,2,3,306.7,275.6,2017,Wellington,Porirua,East,1084.62,$1084pw,sold,2024-07-22 22:05:36,2024-10-11 22:05:36,2216,200,NULL
92,7588,Deadline Sale,Rural,3,1,2,86898.3,174.2,1927,Canterbury,Waimakariri,West,1344497.99,$1.34M,sold,2023-08-24 08:45:12,2023-10-22 08:45:12,4608,495,"$1,230,211"
93,7894,Sale,Section,NULL,NULL,NULL,2213.7,NULL,1957,Auckland,Franklin,North,523242.97,"$523,242",expired,2024-11-20 04:16:05,NULL,3772,349,"$495,112"
94,8027,Sale,House,4,2,3,1008.4,230.7,2017,Auckland,Franklin,East,1448793.74,$1.45M,expired,2025-07-02 12:27:33,NULL,922,100,"$1,022,620"
95,7933,Rent,Section,NULL,NULL,NULL,4907.4,NULL,1988,Nelson-Marlborough,Nelson,East,877.61,$877pw,sold,2026-01-09 15:56:26,2026-03-17 15:56:26,1555,176,NULL
96,8047,Sale,Apartment,3,2,0,NULL,64.0,NULL,Auckland,Manukau,North,1150509.08,$1.15M,sold,2025-10-20 14:55:08,2026-01-13 14:55:08,1875,205,"$976,959"
97,8091,Sale,Lifestyle,3,3,2,53312.9,258.2,NULL,Auckland,Waitakere,North,2698814.52,$2.70M,sold,2024-11-23 08:21:48,2024-12-12 08:21:48,2279,261,"$1,906,600"
98,3446,Auction,Apartment,1,2,2,NULL,136.2,1962,Auckland,Waitakere,North,NULL,Auction,expired,2025-07-26 15:32:21,NULL,1456,77,NULL
99,8529,Sale,Unit,2,2,2,NULL,229.9,1958,Wellington,Upper Hutt,South,1030931.49,$1.03M,under_offer,2024-09-23 02:26:50,NULL,2364,116,"$763,381"
100,7617,Rent,House,2,2,2,784.5,313.4,2007,Nelson-Marlborough,Blenheim,North,1028.6,$1028pw,withdrawn,2023-09-11 01:55:14,NULL,2285,111,NULL
101,7038,Auction,House,3,3,2,956.1,128.8,2025,Auckland,Papakura,East,792770.16,Auction,sold,2025-11-30 10:41:44,2026-02-09 10:41:44,1100,97,"$683,643"
102,9448,Sale,House,4,1,3,754.1,208.3,NULL,Canterbury,Waimakariri,South,1342574.92,$1.34M,sold,2025-10-28 12:18:47,2026-01-26 12:18:47,2203,239,"$1,069,916"
103,8938,Auction,Rural,4,2,1,32573.0,312.6,2016,Auckland,North Shore,Browns Bay,NULL,Auction,sold,2024-11-13 09:51:17,2024-12-09 09:51:17,3793,424,NULL
104,7068,Sale,Townhouse,4,2,1,703.5,147.3,2014,Bay of Plenty,Whakatane,South,1221008.09,$1.22M,sold,2023-09-14 07:44:59,2023-09-23 07:44:59,7730,674,"$909,670"
105,7131,Sale,House,3,2,2,1095.6,319.3,1965,Taranaki,New Plymouth,East,540396.57,"$540,396",under_offer,2023-11-28 13:02:21,NULL,3937,181,"$452,874"
106,8534,Sale,House,3,1,2,1130.2,144.6,2012,Wellington,Lower Hutt,Wainuiomata,502651.64,"$502,651",expired,2025-09-06 15:45:08,NULL,918,80,"$393,724"
107,9727,Sale,Apartment,3,2,2,NULL,55.6,NULL,Waikato,Hamilton,Rototuna,248405.57,"$248,405",under_offer,2026-07-06 10:14:31,NULL,233,9,"$183,270"
108,8196,Sale,Unit,3,3,3,NULL,193.7,NULL,Hawkes Bay,Hastings,East,390316.8,"$390,316",under_offer,2026-01-17 19:50:28,NULL,1630,195,"$322,315"
109,7788,Sale,Unit,4,2,2,NULL,160.4,NULL,Manawatu-Wanganui,Levin,Central,396586.37,"$396,586",sold,2025-05-05 21:14:19,2025-06-06 21:14:19,1785,77,"$328,892"
110,8896,Sale,Townhouse,4,2,2,1152.3,119.5,1960,Otago,Oamaru,West,1643732.85,$1.64M,withdrawn,2025-11-01 18:09:33,NULL,1287,60,"$1,391,657"
111,7581,Auction,Lifestyle,3,2,3,59277.7,177.2,1974,Otago,Dunedin,Roslyn,NULL,Auction,sold,2025-04-24 16:06:23,2025-07-06 16:06:23,2388,119,NULL
112,8035,Rent,House,2,1,1,814.9,232.9,2014,West Coast,Westport,South,794.47,$794pw,sold,2024-06-20 02:04:11,2024-06-29 02:04:11,2457,127,NULL
113,7051,Tender,House,3,2,3,267.1,258.8,NULL,Northland,Whangarei,West,888406.76,Tender,sold,2023-12-23 11:43:01,2024-03-17 11:43:01,4090,461,"$678,210"
114,5535,Deadline Sale,House,3,1,1,240.4,213.6,NULL,Hawkes Bay,Hastings,West,619531.55,"$619,531",under_offer,2024-12-24 03:44:51,NULL,3881,267,"$448,448"
115,7967,Auction,Apartment,1,1,1,NULL,74.3,2006,Auckland,Waitakere,Central,315602.3,Auction,withdrawn,2025-03-23 13:41:05,NULL,1715,195,"$238,179"
116,8756,Auction,Rural,2,1,1,69619.9,334.2,1999,Hawkes Bay,Hastings,West,NULL,Auction,sold,2024-06-19 17:53:02,2024-09-16 17:53:02,5168,460,NULL
117,8014,Sale,House,5,1,1,286.0,140.0,1939,Otago,Oamaru,West,790761.88,"$790,761",sold,2024-11-11 05:43:05,2025-02-20 05:43:05,2976,301,"$738,726"
118,8817,Rent,Rural,5,2,2,18562.9,116.5,NULL,Canterbury,Waimakariri,South,662.13,$662pw,expired,2023-12-29 09:44:18,NULL,4869,362,NULL
119,8989,Rent,Townhouse,3,2,3,691.7,182.4,1962,Auckland,Auckland City,Newmarket,962.09,$962pw,sold,2025-12-20 00:40:12,2026-02-02 00:40:12,1259,129,NULL
120,8083,Sale,House,5,1,2,1167.3,293.9,1977,Wellington,Porirua,Central,671704.83,"$671,704",withdrawn,2024-12-18 13:11:27,NULL,1337,42,"$558,813"
121,7263,Sale,Townhouse,2,1,2,880.5,230.2,1971,Hawkes Bay,Havelock North,North,560442.99,"$560,442",sold,2024-06-17 21:18:27,2024-07-27 21:18:27,4637,230,"$477,405"
122,8740,Rent,Rural,3,1,3,10029.1,134.3,NULL,Wellington,Lower Hutt,Petone,652.13,$652pw,under_offer,2023-11-16 05:57:36,NULL,4757,148,NULL
123,7592,Sale,House,3,3,1,640.6,89.5,2021,Otago,Queenstown,Arrowtown,1795134.74,$1.80M,expired,2023-09-06 04:02:10,NULL,4857,439,"$1,291,396"
124,5020,Rent,Apartment,2,2,0,NULL,90.3,2014,Auckland,North Shore,Albany,1049.52,$1049pw,sold,2024-01-20 05:55:34,2024-02-05 05:55:34,6009,253,NULL
125,8715,Rent,House,3,2,1,1101.1,109.7,1959,Auckland,Waitakere,North,1019.36,$1019pw,withdrawn,2024-10-26 02:42:23,NULL,2119,195,NULL
126,1079,Sale,Townhouse,4,1,1,741.2,99.4,1995,Gisborne,Gisborne,West,893555.2,"$893,555",withdrawn,2026-06-21 15:48:46,NULL,377,15,"$795,102"
127,2574,Tender,Townhouse,4,2,3,906.4,241.0,1981,Bay of Plenty,Rotorua,East,680789.02,Tender,sold,2026-06-04 22:19:30,2026-06-14 22:19:30,416,23,"$503,765"
128,7312,Sale,Apartment,1,2,1,NULL,91.0,1941,Auckland,Manukau,South,721387.38,"$721,387",sold,2024-10-27 12:30:27,2024-12-21 12:30:27,4883,424,"$572,825"
129,8801,Rent,House,3,3,2,729.0,326.7,NULL,Wellington,Porirua,West,976.38,$976pw,under_offer,2024-08-02 00:29:31,NULL,5496,172,NULL
130,8502,Deadline Sale,Townhouse,4,3,2,239.8,116.7,NULL,Auckland,Waitakere,West,1673534.14,$1.67M,under_offer,2024-02-17 02:37:09,NULL,2914,251,"$1,340,341"
131,8178,Sale,House,4,1,3,883.5,244.7,2026,Auckland,Manukau,East,1952415.88,$1.95M,active,2026-07-01 19:58:26,NULL,369,30,"$1,502,609"
132,7513,Sale,House,5,3,3,232.9,172.9,NULL,Auckland,Waitakere,East,1779289.89,$1.78M,under_offer,2024-04-01 17:25:53,NULL,4991,524,"$1,490,375"
133,9950,Sale,Townhouse,4,2,2,238.7,255.3,2017,Canterbury,Christchurch,New Brighton,721790.56,"$721,790",under_offer,2025-01-15 10:58:11,NULL,3941,227,"$563,118"
134,1015,Sale,Townhouse,5,2,2,716.5,330.3,1980,Auckland,Waitakere,South,806054.0,"$806,054",sold,2026-06-08 08:48:00,2026-07-10 08:48:00,372,15,"$599,143"
135,7175,Sale,Townhouse,3,2,2,1101.5,139.0,2009,Wellington,Wellington City,Newtown,1561027.34,$1.56M,expired,2025-08-03 03:29:12,NULL,2242,90,"$1,467,186"
136,8486,Tender,Townhouse,3,2,1,261.4,165.5,NULL,Canterbury,Ashburton,East,520184.8,Tender,expired,2025-01-22 04:20:42,NULL,1403,80,"$383,911"
137,8097,Tender,Section,NULL,NULL,NULL,2256.7,NULL,NULL,Canterbury,Waimakariri,West,475653.64,Tender,sold,2024-05-30 22:16:15,2024-06-08 22:16:15,2960,279,"$377,627"
138,8272,Rent,Apartment,2,2,2,NULL,143.8,2004,Auckland,Franklin,East,846.47,$846pw,expired,2025-10-14 15:46:42,NULL,1124,36,NULL
139,7031,Rent,Lifestyle,2,1,3,18167.1,263.6,1995,Auckland,North Shore,Birkenhead,463.86,$463pw,expired,2026-05-28 10:26:56,NULL,335,25,NULL
140,7394,Rent,Section,NULL,NULL,NULL,4775.8,NULL,1942,Auckland,Waitakere,North,422.76,$422pw,under_offer,2025-01-31 21:15:19,NULL,1325,86,NULL
141,8014,Rent,Apartment,2,1,1,NULL,56.6,1958,Auckland,North Shore,Browns Bay,609.85,$609pw,withdrawn,2026-03-16 09:16:34,NULL,911,33,NULL
142,8737,Auction,Apartment,2,1,1,NULL,95.6,NULL,Wellington,Porirua,East,668972.37,Auction,sold,2025-07-03 19:38:39,2025-09-28 19:38:39,1305,151,"$538,597"
143,8034,Sale,Townhouse,3,1,3,656.1,164.7,NULL,West Coast,Greymouth,North,598106.75,"$598,106",sold,2025-11-26 19:34:20,2025-12-08 19:34:20,794,70,"$515,133"
144,8254,Sale,Section,NULL,NULL,NULL,833.9,NULL,1937,Canterbury,Christchurch,Cashmere,294745.45,"$294,745",expired,2024-06-18 08:11:09,NULL,4296,346,"$234,732"
145,8181,Sale,House,3,1,2,483.1,323.6,NULL,Auckland,Auckland City,Newmarket,1745956.69,$1.75M,sold,2023-11-19 01:12:39,2023-12-02 01:12:39,2297,211,"$1,348,788"
146,7093,Sale,Apartment,1,2,2,NULL,112.7,NULL,Canterbury,Christchurch,Riccarton,342673.03,"$342,673",under_offer,2024-02-21 18:53:18,NULL,1988,228,"$288,397"
147,7331,Tender,Rural,3,2,2,55428.3,310.4,1957,Canterbury,Selwyn,South,NULL,Tender,sold,2024-04-04 07:04:32,2024-05-19 07:04:32,3838,127,NULL
148,7388,Rent,House,4,1,1,453.3,93.1,NULL,Canterbury,Selwyn,East,624.09,$624pw,sold,2026-04-26 02:36:55,2026-07-26 02:36:55,422,20,NULL
149,8737,Sale,Townhouse,4,1,1,399.1,133.0,NULL,Auckland,Papakura,Central,761267.34,"$761,267",expired,2025-09-20 09:05:17,NULL,2344,271,"$611,628"
