contact_id,listing_id,listing_source,user_id,product_area,reason,created_date,resolved_date,resolution_time_hours,description,metadata
19,1521,motors,4837,Motors,Listing Quality,2026-04-11 19:52:07,2026-04-12 09:59:17,14.12,Duplicate listing reported,"{""channel"": ""App"", ""priority"": ""Low"", ""agent_id"": ""AGT-0030"", ""tags"": [""listing_quality""], ""escalated"": false}"
20,NULL,NULL,4897,Motors,Account,2024-01-27 02:28:00,2024-01-27 13:06:15,10.64,Need to update email address,"{""channel"": ""Phone"", ""priority"": ""Low"", ""agent_id"": ""AGT-0032"", ""tags"": [""account""], ""escalated"": false}"
21,11306,jobs,4237,Jobs,Technical,2025-01-04 12:35:29,2025-01-05 19:52:26,31.28,Search results not showing my listing,"{""channel"": ""Email"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0025"", ""tags"": [""technical""], ""escalated"": false}"
22,14142,motors,5542,Motors,Listing Quality,2026-04-26 18:05:13,2026-04-27 01:18:33,7.22,Description contains misleading information,"{""channel"": ""Web"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0011"", ""tags"": [""listing_quality""], ""escalated"": false}"
23,13425,property,4604,Property,Billing,2025-02-17 00:24:10,2025-02-17 14:56:49,14.54,Subscription billing query,"{""channel"": ""Web"", ""priority"": ""High"", ""agent_id"": ""AGT-0015"", ""tags"": [""billing"", ""escalation_risk""], ""escalated"": false}"
24,NULL,NULL,4126,Marketplace,Account,2023-10-07 18:13:15,2023-10-07 21:11:03,2.96,Requesting account deletion,"{""channel"": ""App"", ""priority"": ""High"", ""agent_id"": ""AGT-0004"", ""tags"": [""account"", ""escalation_risk""], ""escalated"": false}"
25,4430,motors,9371,Motors,Listing Quality,2024-01-11 03:47:53,2024-01-11 13:23:18,9.59,Duplicate listing reported,"{""channel"": ""Email"", ""priority"": ""High"", ""agent_id"": ""AGT-0046"", ""tags"": [""listing_quality"", ""escalation_risk""], ""escalated"": false}"
26,13438,property,3313,Property,Billing,2025-01-03 19:07:24,2025-01-06 13:57:53,66.84,Charged incorrectly for listing fee,"{""channel"": ""Web"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0021"", ""tags"": [""billing""], ""escalated"": false}"
27,37854,marketplace,4716,Marketplace,Listing Quality,2024-12-08 17:17:42,2024-12-09 12:26:19,19.14,Photos are stock images not actual item,"{""channel"": ""Email"", ""priority"": ""Low"", ""agent_id"": ""AGT-0050"", ""tags"": [""listing_quality""], ""escalated"": false}"
28,17311,marketplace,231,Marketplace,Listing Quality,2024-01-20 18:56:43,2024-01-21 00:35:08,5.64,Duplicate listing reported,"{""channel"": ""Web"", ""priority"": ""Low"", ""agent_id"": ""AGT-0038"", ""tags"": [""listing_quality""], ""escalated"": false}"
29,10439,motors,6603,Motors,Technical,2024-05-25 11:35:42,2024-05-25 21:30:47,9.92,Unable to upload photos to listing,"{""channel"": ""Web"", ""priority"": ""High"", ""agent_id"": ""AGT-0016"", ""tags"": [""technical"", ""escalation_risk""], ""escalated"": false}"
30,4351,marketplace,4559,Marketplace,Delivery,2024-06-09 10:05:37,2024-06-16 16:09:13,174.06,Wrong item delivered,"{""channel"": ""Email"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0022"", ""tags"": [""delivery""], ""escalated"": false}"
31,12939,marketplace,6429,Marketplace,Billing,2024-11-12 22:20:32,2024-11-14 20:36:29,46.27,Payment not processed correctly,"{""channel"": ""Web"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0013"", ""tags"": [""billing""], ""escalated"": false}"
32,22957,marketplace,5261,Marketplace,Technical,2024-11-15 04:55:09,2024-11-16 16:15:46,35.34,Unable to upload photos to listing,"{""channel"": ""App"", ""priority"": ""High"", ""agent_id"": ""AGT-0028"", ""tags"": [""technical"", ""escalation_risk""], ""escalated"": false}"
33,6633,jobs,2745,Jobs,Technical,2024-07-01 17:06:45,2024-07-02 03:39:34,10.55,Cannot edit listing details,"{""channel"": ""Web"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0017"", ""tags"": [""technical""], ""escalated"": false}"
34,NULL,NULL,3937,Motors,Account,2026-02-04 18:28:28,NULL,NULL,Account suspended without explanation,"{""channel"": ""Web"", ""priority"": ""High"", ""agent_id"": ""AGT-0049"", ""tags"": [""account"", ""escalation_risk""], ""escalated"": false}"
35,40540,marketplace,4880,Marketplace,Technical,2025-10-18 12:45:29,2025-10-19 07:07:18,18.36,Cannot edit listing details,"{""channel"": ""Phone"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0034"", ""tags"": [""technical""], ""escalated"": false}"
36,10735,jobs,4021,Jobs,Delivery,2023-10-29 19:47:38,2023-10-31 17:20:51,45.55,Wrong item delivered,"{""channel"": ""Web"", ""priority"": ""Low"", ""agent_id"": ""AGT-0012"", ""tags"": [""delivery""], ""escalated"": false}"
37,NULL,NULL,8844,Motors,Account,2026-03-11 11:45:04,2026-03-11 23:31:51,11.78,Need to update email address,"{""channel"": ""Web"", ""priority"": ""Low"", ""agent_id"": ""AGT-0026"", ""tags"": [""account""], ""escalated"": false}"
38,NULL,NULL,3199,Jobs,Account,2025-08-02 19:25:27,2025-08-02 23:28:58,4.06,Cannot reset password,"{""channel"": ""Phone"", ""priority"": ""Low"", ""agent_id"": ""AGT-0017"", ""tags"": [""account""], ""escalated"": false}"
39,30718,marketplace,2948,Marketplace,Delivery,2024-04-16 08:31:34,2024-04-23 18:43:06,178.19,Wrong item delivered,"{""channel"": ""App"", ""priority"": ""High"", ""agent_id"": ""AGT-0016"", ""tags"": [""delivery"", ""escalation_risk""], ""escalated"": false}"
40,13588,property,5684,Property,Listing Quality,2024-09-14 09:02:02,2024-09-14 23:23:02,14.35,Duplicate listing reported,"{""channel"": ""Email"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0025"", ""tags"": [""listing_quality""], ""escalated"": false}"
41,22911,marketplace,9487,Marketplace,Billing,2026-04-14 13:39:57,2026-04-15 00:10:33,10.51,Payment not processed correctly,"{""channel"": ""Phone"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0005"", ""tags"": [""billing""], ""escalated"": false}"
42,8224,motors,8442,Motors,Billing,2025-10-17 07:42:38,2025-10-17 17:52:43,10.17,Subscription billing query,"{""channel"": ""Web"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0004"", ""tags"": [""billing""], ""escalated"": false}"
43,6322,motors,240,Motors,Listing Quality,2026-01-17 11:57:53,2026-01-17 14:37:19,2.66,Description contains misleading information,"{""channel"": ""Web"", ""priority"": ""Low"", ""agent_id"": ""AGT-0024"", ""tags"": [""listing_quality""], ""escalated"": false}"
44,NULL,NULL,4502,Marketplace,Account,2025-08-03 16:06:33,2025-08-04 05:01:47,12.92,Account suspended without explanation,"{""channel"": ""App"", ""priority"": ""High"", ""agent_id"": ""AGT-0045"", ""tags"": [""account"", ""escalation_risk""], ""escalated"": false}"
45,NULL,NULL,3173,Property,Account,2023-09-01 23:42:14,2023-09-02 13:32:59,13.85,Requesting account deletion,"{""channel"": ""Web"", ""priority"": ""High"", ""agent_id"": ""AGT-0036"", ""tags"": [""account"", ""escalation_risk""], ""escalated"": false}"
46,7943,jobs,4294,Jobs,Billing,2026-06-17 08:11:49,2026-06-17 17:28:50,9.28,Charged incorrectly for listing fee,"{""channel"": ""Web"", ""priority"": ""High"", ""agent_id"": ""AGT-0024"", ""tags"": [""billing"", ""escalation_risk""], ""escalated"": false}"
47,3689,motors,4225,Motors,Listing Quality,2024-05-10 17:33:35,2024-05-11 04:13:08,10.66,Photos are stock images not actual item,"{""channel"": ""Email"", ""priority"": ""Critical"", ""agent_id"": ""AGT-0039"", ""tags"": [""listing_quality"", ""escalation_risk""], ""escalated"": false}"
48,45002,marketplace,2612,Marketplace,Listing Quality,2025-06-05 18:09:28,2025-06-05 21:42:25,3.55,Photos are stock images not actual item,"{""channel"": ""App"", ""priority"": ""Critical"", ""agent_id"": ""AGT-0023"", ""tags"": [""listing_quality"", ""escalation_risk""], ""escalated"": true}"
49,26558,marketplace,5051,Marketplace,Delivery,2024-09-09 13:38:44,2024-09-15 14:37:43,144.98,Wrong item delivered,"{""channel"": ""Email"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0044"", ""tags"": [""delivery""], ""escalated"": false}"
50,NULL,NULL,7981,Motors,Account,2025-03-19 00:47:22,2025-03-19 05:19:32,4.54,Two-factor authentication issue,"{""channel"": ""Email"", ""priority"": ""Low"", ""agent_id"": ""AGT-0027"", ""tags"": [""account""], ""escalated"": false}"
51,6000,motors,2073,Motors,Fraud,2023-08-12 15:03:51,2023-08-14 16:31:08,49.45,Fake listing reported by multiple users,"{""channel"": ""Web"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0011"", ""tags"": [""fraud"", ""trust_safety""], ""escalated"": false}"
52,14984,motors,8115,Motors,Fraud,2025-11-14 19:22:53,2025-11-16 02:20:13,30.96,Account appears to be compromised,"{""channel"": ""Email"", ""priority"": ""Low"", ""agent_id"": ""AGT-0016"", ""tags"": [""fraud"", ""trust_safety""], ""escalated"": false}"
53,1357,property,9478,Property,Technical,2025-02-28 14:26:39,NULL,NULL,Cannot edit listing details,"{""channel"": ""Web"", ""priority"": ""High"", ""agent_id"": ""AGT-0034"", ""tags"": [""technical"", ""escalation_risk""], ""escalated"": false}"
54,2258,motors,556,Motors,Delivery,2026-06-16 21:24:34,2026-06-24 16:11:59,186.79,Tracking number not valid,"{""channel"": ""App"", ""priority"": ""High"", ""agent_id"": ""AGT-0039"", ""tags"": [""delivery"", ""escalation_risk""], ""escalated"": false}"
55,10975,motors,2544,Motors,Fraud,2024-03-06 10:46:37,2024-03-08 11:37:51,48.85,Suspicious listing - possible scam,"{""channel"": ""Web"", ""priority"": ""High"", ""agent_id"": ""AGT-0010"", ""tags"": [""fraud"", ""escalation_risk"", ""trust_safety""], ""escalated"": false}"
56,47114,marketplace,1499,Marketplace,Technical,2024-02-08 04:57:21,2024-02-08 14:59:18,10.03,Cannot edit listing details,"{""channel"": ""Phone"", ""priority"": ""High"", ""agent_id"": ""AGT-0002"", ""tags"": [""technical"", ""escalation_risk""], ""escalated"": false}"
57,49375,marketplace,5130,Marketplace,Fraud,2025-06-26 19:59:21,NULL,NULL,Fake listing reported by multiple users,"{""channel"": ""Web"", ""priority"": ""High"", ""agent_id"": ""AGT-0032"", ""tags"": [""fraud"", ""escalation_risk"", ""trust_safety""], ""escalated"": false}"
58,39672,marketplace,1364,Marketplace,Delivery,2025-07-07 08:53:52,2025-07-15 01:40:40,184.78,Courier lost package,"{""channel"": ""Phone"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0026"", ""tags"": [""delivery""], ""escalated"": false}"
59,4243,jobs,190,Jobs,Technical,2023-11-06 09:05:46,2023-11-06 12:21:13,3.26,Search results not showing my listing,"{""channel"": ""Email"", ""priority"": ""Critical"", ""agent_id"": ""AGT-0049"", ""tags"": [""technical"", ""escalation_risk""], ""escalated"": true}"
60,38670,marketplace,1743,Marketplace,Billing,2024-08-26 00:30:14,2024-08-28 05:27:17,52.95,Need refund for cancelled listing,"{""channel"": ""Email"", ""priority"": ""High"", ""agent_id"": ""AGT-0013"", ""tags"": [""billing"", ""escalation_risk""], ""escalated"": false}"
61,319,jobs,1373,Jobs,Technical,2025-12-06 21:38:43,2025-12-07 10:25:47,12.78,Unable to upload photos to listing,"{""channel"": ""Web"", ""priority"": ""Low"", ""agent_id"": ""AGT-0004"", ""tags"": [""technical""], ""escalated"": false}"
62,19667,motors,5079,Motors,Listing Quality,2023-11-06 22:56:32,2023-11-07 22:11:35,23.25,Description contains misleading information,"{""channel"": ""Phone"", ""priority"": ""High"", ""agent_id"": ""AGT-0009"", ""tags"": [""listing_quality"", ""escalation_risk""], ""escalated"": false}"
63,37929,marketplace,5767,Marketplace,Delivery,2025-02-19 21:06:05,2025-02-24 18:56:59,117.85,Item not received after 14 days,"{""channel"": ""App"", ""priority"": ""Low"", ""agent_id"": ""AGT-0020"", ""tags"": [""delivery""], ""escalated"": false}"
64,24481,marketplace,971,Marketplace,Delivery,2026-07-30 00:55:15,2026-08-05 08:58:28,152.05,Courier lost package,"{""channel"": ""Email"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0046"", ""tags"": [""delivery""], ""escalated"": false}"
65,14458,property,5093,Property,Listing Quality,2025-10-21 16:28:04,NULL,NULL,Description contains misleading information,"{""channel"": ""Email"", ""priority"": ""Low"", ""agent_id"": ""AGT-0021"", ""tags"": [""listing_quality""], ""escalated"": false}"
66,18050,marketplace,5407,Marketplace,Technical,2025-08-08 09:57:45,2025-08-09 02:28:52,16.52,Payment gateway error,"{""channel"": ""Web"", ""priority"": ""Low"", ""agent_id"": ""AGT-0002"", ""tags"": [""technical""], ""escalated"": false}"
67,31275,marketplace,8296,Marketplace,Fraud,2026-01-31 07:42:06,2026-01-31 22:11:59,14.5,Suspicious listing - possible scam,"{""channel"": ""Phone"", ""priority"": ""High"", ""agent_id"": ""AGT-0011"", ""tags"": [""fraud"", ""escalation_risk"", ""trust_safety""], ""escalated"": false}"
68,11647,motors,7060,Motors,Delivery,2025-09-05 13:45:54,2025-09-14 09:04:10,211.3,Tracking number not valid,"{""channel"": ""Phone"", ""priority"": ""Low"", ""agent_id"": ""AGT-0007"", ""tags"": [""delivery""], ""escalated"": false}"
69,7973,motors,7117,Motors,Listing Quality,2025-01-25 18:00:27,2025-01-25 23:33:59,5.56,Price seems unrealistic,"{""channel"": ""Web"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0048"", ""tags"": [""listing_quality""], ""escalated"": false}"
70,24106,marketplace,6531,Marketplace,Delivery,2026-08-16 05:38:27,2026-08-19 04:51:16,71.21,Tracking number not valid,"{""channel"": ""App"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0044"", ""tags"": [""delivery""], ""escalated"": false}"
71,NULL,NULL,2233,Marketplace,Account,2025-07-08 08:46:16,2025-07-08 15:39:24,6.89,Two-factor authentication issue,"{""channel"": ""App"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0013"", ""tags"": [""account""], ""escalated"": false}"
72,11726,motors,5667,Motors,Delivery,2024-06-23 17:06:41,2024-06-28 14:44:32,117.63,Wrong item delivered,"{""channel"": ""App"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0042"", ""tags"": [""delivery""], ""escalated"": false}"
73,1286,motors,4896,Motors,Listing Quality,2024-11-24 06:23:40,2024-11-25 04:01:27,21.63,Description contains misleading information,"{""channel"": ""Email"", ""priority"": ""Low"", ""agent_id"": ""AGT-0031"", ""tags"": [""listing_quality""], ""escalated"": false}"
74,28794,marketplace,51,Marketplace,Fraud,2026-03-27 04:43:49,2026-03-28 00:01:58,19.3,Account appears to be compromised,"{""channel"": ""Phone"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0049"", ""tags"": [""fraud"", ""trust_safety""], ""escalated"": false}"
75,1385,property,1745,Property,Listing Quality,2025-03-03 19:15:33,2025-03-04 06:53:16,11.63,Duplicate listing reported,"{""channel"": ""Email"", ""priority"": ""High"", ""agent_id"": ""AGT-0030"", ""tags"": [""listing_quality"", ""escalation_risk""], ""escalated"": false}"
76,10026,motors,7867,Motors,Listing Quality,2025-04-24 00:35:49,2025-04-24 15:37:55,15.04,Photos are stock images not actual item,"{""channel"": ""Web"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0042"", ""tags"": [""listing_quality""], ""escalated"": false}"
77,NULL,NULL,105,Marketplace,Account,2025-04-13 22:54:24,2025-04-14 05:38:07,6.73,Requesting account deletion,"{""channel"": ""App"", ""priority"": ""Low"", ""agent_id"": ""AGT-0020"", ""tags"": [""account""], ""escalated"": false}"
78,5466,property,1463,Property,Fraud,2025-02-14 23:29:03,NULL,NULL,Seller not responding after payment,"{""channel"": ""Email"", ""priority"": ""High"", ""agent_id"": ""AGT-0041"", ""tags"": [""fraud"", ""escalation_risk"", ""trust_safety""], ""escalated"": false}"
79,5045,marketplace,2944,Marketplace,Delivery,2024-12-26 13:33:03,2024-12-28 18:36:04,53.05,Courier lost package,"{""channel"": ""Phone"", ""priority"": ""Low"", ""agent_id"": ""AGT-0015"", ""tags"": [""delivery""], ""escalated"": false}"
80,31397,marketplace,8935,Marketplace,Delivery,2025-07-14 00:01:56,2025-07-16 12:36:26,60.58,Item arrived damaged,"{""channel"": ""App"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0048"", ""tags"": [""delivery""], ""escalated"": false}"
81,5434,jobs,5501,Jobs,Fraud,2024-11-04 03:46:56,2024-11-09 16:07:48,132.35,Item received does not match description,"{""channel"": ""App"", ""priority"": ""High"", ""agent_id"": ""AGT-0022"", ""tags"": [""fraud"", ""escalation_risk"", ""trust_safety""], ""escalated"": false}"
82,NULL,NULL,554,Property,Account,2025-12-19 07:00:21,2025-12-19 18:35:35,11.59,Cannot reset password,"{""channel"": ""Web"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0009"", ""tags"": [""account""], ""escalated"": false}"
83,2846,property,1746,Property,Listing Quality,2026-07-16 10:43:07,2026-07-16 21:16:30,10.56,Description contains misleading information,"{""channel"": ""Web"", ""priority"": ""High"", ""agent_id"": ""AGT-0001"", ""tags"": [""listing_quality"", ""escalation_risk""], ""escalated"": false}"
84,12298,marketplace,4908,Marketplace,Listing Quality,2024-10-13 09:36:53,2024-10-13 13:27:05,3.84,Duplicate listing reported,"{""channel"": ""Email"", ""priority"": ""Low"", ""agent_id"": ""AGT-0049"", ""tags"": [""listing_quality""], ""escalated"": false}"
85,3508,marketplace,3059,Marketplace,Delivery,2026-07-09 18:26:26,2026-07-14 05:05:15,106.65,Tracking number not valid,"{""channel"": ""App"", ""priority"": ""Low"", ""agent_id"": ""AGT-0016"", ""tags"": [""delivery""], ""escalated"": false}"
86,2948,jobs,5706,Jobs,Technical,2023-12-23 23:04:25,2023-12-24 17:04:35,18.0,Unable to upload photos to listing,"{""channel"": ""Email"", ""priority"": ""High"", ""agent_id"": ""AGT-0035"", ""tags"": [""technical"", ""escalation_risk""], ""escalated"": false}"
87,4461,property,4343,Property,Technical,2025-07-02 17:35:14,2025-07-02 21:19:29,3.74,Cannot edit listing details,"{""channel"": ""Phone"", ""priority"": ""High"", ""agent_id"": ""AGT-0029"", ""tags"": [""technical"", ""escalation_risk""], ""escalated"": false}"
88,3298,marketplace,6941,Marketplace,Listing Quality,2026-01-15 07:10:38,2026-01-16 02:10:27,19.0,Description contains misleading information,"{""channel"": ""Web"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0005"", ""tags"": [""listing_quality""], ""escalated"": false}"
89,NULL,NULL,6204,Jobs,Account,2024-04-20 05:57:33,2024-04-20 21:11:30,15.23,Need to update email address,"{""channel"": ""Web"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0038"", ""tags"": [""account""], ""escalated"": false}"
90,1461,motors,905,Motors,Delivery,2023-08-04 11:59:19,2023-08-11 00:23:35,156.4,Wrong item delivered,"{""channel"": ""Email"", ""priority"": ""Low"", ""agent_id"": ""AGT-0015"", ""tags"": [""delivery""], ""escalated"": false}"
91,14260,property,235,Property,Fraud,2024-09-14 10:35:45,2024-09-16 14:37:15,52.03,Seller not responding after payment,"{""channel"": ""Web"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0046"", ""tags"": [""fraud"", ""trust_safety""], ""escalated"": false}"
92,42555,marketplace,1780,Marketplace,Fraud,2024-11-16 06:05:29,2024-11-17 18:55:50,36.84,Suspicious listing - possible scam,"{""channel"": ""Email"", ""priority"": ""High"", ""agent_id"": ""AGT-0009"", ""tags"": [""fraud"", ""escalation_risk"", ""trust_safety""], ""escalated"": false}"
93,9542,motors,7672,Motors,Fraud,2024-04-10 19:19:21,2024-04-15 20:25:38,121.1,Account appears to be compromised,"{""channel"": ""App"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0035"", ""tags"": [""fraud"", ""trust_safety""], ""escalated"": false}"
94,12285,jobs,3187,Jobs,Listing Quality,2024-08-22 23:25:09,2024-08-23 12:32:43,13.13,Description contains misleading information,"{""channel"": ""Email"", ""priority"": ""High"", ""agent_id"": ""AGT-0026"", ""tags"": [""listing_quality"", ""escalation_risk""], ""escalated"": false}"
95,3359,motors,2893,Motors,Fraud,2024-04-16 16:37:06,2024-04-17 07:27:11,14.83,Seller not responding after payment,"{""channel"": ""Email"", ""priority"": ""High"", ""agent_id"": ""AGT-0021"", ""tags"": [""fraud"", ""escalation_risk"", ""trust_safety""], ""escalated"": false}"
96,40682,marketplace,9629,Marketplace,Listing Quality,2024-09-04 05:23:15,2024-09-05 05:04:43,23.69,Description contains misleading information,"{""channel"": ""Email"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0024"", ""tags"": [""listing_quality""], ""escalated"": false}"
97,4247,marketplace,5015,Marketplace,Listing Quality,2025-11-01 15:27:09,2025-11-02 14:50:55,23.4,Price seems unrealistic,"{""channel"": ""Email"", ""priority"": ""High"", ""agent_id"": ""AGT-0003"", ""tags"": [""listing_quality"", ""escalation_risk""], ""escalated"": false}"
98,NULL,NULL,2027,Property,Account,2024-12-06 09:40:38,2024-12-06 14:08:18,4.46,Requesting account deletion,"{""channel"": ""App"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0048"", ""tags"": [""account""], ""escalated"": false}"
99,NULL,NULL,4590,Marketplace,Account,2026-02-19 13:19:24,2026-02-19 23:04:44,9.76,Need to update email address,"{""channel"": ""Web"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0006"", ""tags"": [""account""], ""escalated"": false}"
100,11624,property,2194,Property,Billing,2024-07-08 22:48:14,2024-07-09 13:37:45,14.83,Payment not processed correctly,"{""channel"": ""Email"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0037"", ""tags"": [""billing""], ""escalated"": false}"
101,3434,marketplace,1252,Marketplace,Listing Quality,2025-07-29 18:53:34,NULL,NULL,Listing has incorrect category,"{""channel"": ""Web"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0046"", ""tags"": [""listing_quality""], ""escalated"": false}"
102,10913,jobs,3552,Jobs,Billing,2025-12-28 00:22:04,2025-12-28 19:41:14,19.32,Subscription billing query,"{""channel"": ""Email"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0050"", ""tags"": [""billing""], ""escalated"": false}"
103,13230,property,171,Property,Delivery,2025-10-30 16:19:40,2025-11-07 14:46:23,190.45,Courier lost package,"{""channel"": ""App"", ""priority"": ""Low"", ""agent_id"": ""AGT-0019"", ""tags"": [""delivery""], ""escalated"": false}"
104,47757,marketplace,5809,Marketplace,Fraud,2026-08-23 02:46:43,NULL,NULL,Suspicious listing - possible scam,"{""channel"": ""App"", ""priority"": ""Medium"", ""agent_id"": ""AGT-0008"", ""tags"": [""fraud"", ""trust_safety""], ""escalated"": false}"
