listing_id,user_id,category,subcategory,title,condition,asking_price,buy_now_price,region,city,status,listed_date,close_date,sold_date,shipping_available,accepts_offers,view_count,watchlist_count,bid_count
57,873,Toys & Games,Puzzles,Used - Good Sony Puzzles Item,Used - Good,133.63,155.25,Wellington,Porirua,sold,2023-12-14 05:43:44,2023-12-26 05:43:44,2023-12-28 05:43:44,True,True,1321,203,2
58,2767,Books & Music,Vinyl Records,New Breville Vinyl Records Item,New,79.15,94.39,Auckland,North Shore,closed,2026-01-22 11:40:06,2026-02-05 11:40:06,NULL,False,True,226,14,2
59,7830,Computers,Networking,Used - Like New Breville Networking Item,Used - Like New,4348.88,5181.02,Auckland,Waitakere,closed,2023-08-10 22:01:41,2023-08-17 22:01:41,NULL,True,True,2533,198,0
60,2009,Electronics,Cameras,New Giant Cameras Item,New,1284.9,NULL,Wellington,Lower Hutt,closed,2023-08-15 07:59:20,2023-08-25 07:59:20,NULL,False,False,1992,286,3
61,1154,Baby & Kids,Feeding,Used - Like New Lego Feeding Item,Used - Like New,322.98,416.78,Wellington,Wellington City,closed,2025-07-24 04:59:21,2025-08-03 04:59:21,NULL,True,False,366,60,0
62,5556,Baby & Kids,Prams,New Giant Prams Item,New,331.83,NULL,West Coast,Greymouth,sold,2025-11-23 19:02:10,2025-12-07 19:02:10,2025-11-24 19:02:10,True,False,386,76,8
63,5411,Sports,Water Sports,Used - Like New Lego Water Sports Item,Used - Like New,1868.77,2222.76,Auckland,Papakura,withdrawn,2025-09-03 06:35:59,2025-09-15 06:35:59,NULL,False,True,395,67,1
64,6643,Toys & Games,Puzzles,Used - Like New Trek Puzzles Item,Used - Like New,246.54,NULL,Canterbury,Ashburton,sold,2025-05-01 06:36:27,2025-05-08 06:36:27,2025-05-08 06:36:27,True,True,697,135,0
65,1488,Clothing,Women's,Used - Like New Trek Women's Item,Used - Like New,450.41,NULL,Canterbury,Timaru,sold,2024-02-20 01:20:53,2024-03-02 01:20:53,2024-02-26 01:20:53,True,True,1248,202,2
66,2427,Sports,Water Sports,Used - Average Sony Water Sports Item,Used - Average,201.25,239.49,Waikato,Taupo,sold,2025-06-23 21:23:33,2025-06-30 21:23:33,2025-07-01 21:23:33,True,True,991,122,4
67,2225,Computers,Storage,New Breville Storage Item,New,2847.93,NULL,Canterbury,Selwyn,sold,2024-10-21 00:04:06,2024-11-02 00:04:06,2024-10-24 00:04:06,True,True,922,133,5
68,7068,Health & Beauty,Skincare,New Hasbro Skincare Item,New,135.22,158.68,Bay of Plenty,Whakatane,closed,2025-09-03 11:18:40,2025-09-14 11:18:40,NULL,True,True,662,94,2
69,6471,Books & Music,Fiction,Used - Good Nike Fiction Item,Used - Good,47.46,NULL,Auckland,Papakura,closed,2024-10-11 22:39:56,2024-10-25 22:39:56,NULL,True,False,1677,160,0
70,9222,Books & Music,Non-Fiction,Used - Good Adidas Non-Fiction Item,Used - Good,346.32,NULL,Wellington,Lower Hutt,sold,2025-01-22 22:47:13,2025-02-01 22:47:13,2025-02-05 22:47:13,False,True,592,82,7
71,5229,Collectables,Stamps,New Shimano Stamps Item,New,55.05,NULL,Bay of Plenty,Mount Maunganui,withdrawn,2024-03-18 08:39:19,2024-03-25 08:39:19,NULL,False,True,2638,380,0
72,9915,Books & Music,Instruments,New Lego Instruments Item,New,138.69,170.62,Auckland,Franklin,closed,2024-06-21 02:12:09,2024-07-02 02:12:09,NULL,True,False,1615,280,2
73,6815,Books & Music,Fiction,Used - Good Sony Fiction Item,Used - Good,281.85,359.74,Wellington,Upper Hutt,sold,2025-12-12 19:53:25,2025-12-20 19:53:25,2025-12-16 19:53:25,True,False,529,44,6
74,1829,Collectables,Antiques,Used - Good Dyson Antiques Item,Used - Good,2776.37,3108.82,Nelson-Marlborough,Richmond,closed,2025-06-04 10:32:45,2025-06-12 10:32:45,NULL,True,False,708,110,0
75,9361,Collectables,Stamps,Used - Like New Fisher & Paykel Stamps Item,Used - Like New,1063.45,1232.05,Auckland,North Shore,sold,2025-08-16 09:39:49,2025-08-29 09:39:49,2025-08-20 09:39:49,False,False,778,122,1
76,1513,Health & Beauty,Fragrance,Used - Average Breville Fragrance Item,Used - Average,456.54,524.15,Hawkes Bay,Hastings,sold,2023-09-11 23:33:01,2023-09-22 23:33:01,2023-09-22 23:33:01,True,False,2152,167,2
77,4922,Clothing,Children's,New Sony Children's Item,New,495.11,622.4,Otago,Oamaru,sold,2026-04-09 16:26:12,2026-04-22 16:26:12,2026-04-13 16:26:12,False,True,234,17,3
78,9257,Home & Living,Appliances,New LG Appliances Item,New,57.68,NULL,Waikato,Rotorua,sold,2026-01-13 03:49:37,2026-01-27 03:49:37,2026-01-20 03:49:37,True,False,326,18,8
79,5989,Books & Music,Fiction,Used - Like New Giant Fiction Item,Used - Like New,110.16,125.55,Nelson-Marlborough,Richmond,sold,2024-05-02 01:12:33,2024-05-09 01:12:33,2024-05-12 01:12:33,True,True,1375,206,6
80,8460,Toys & Games,Outdoor Toys,New Dyson Outdoor Toys Item,New,238.84,NULL,Auckland,North Shore,closed,2025-02-09 17:10:48,2025-02-19 17:10:48,NULL,False,True,359,67,2
81,4755,Baby & Kids,Maternity,Used - Good Breville Maternity Item,Used - Good,431.05,NULL,Manawatu-Wanganui,Feilding,withdrawn,2024-09-08 00:28:13,2024-09-16 00:28:13,NULL,True,True,1613,231,0
82,5143,Electronics,Cameras,Used - Good Fisher & Paykel Cameras Item,Used - Good,1620.93,1883.52,Hawkes Bay,Hastings,withdrawn,2026-05-14 10:03:30,2026-05-26 10:03:30,NULL,True,True,147,22,3
83,392,Collectables,Stamps,Used - Like New Samsung Stamps Item,Used - Like New,577.49,NULL,Wellington,Lower Hutt,withdrawn,2026-03-17 06:37:26,2026-03-27 06:37:26,NULL,False,True,151,23,1
84,5874,Clothing,Shoes,New Nike Shoes Item,New,361.84,454.13,Bay of Plenty,Whakatane,sold,2023-09-04 03:43:57,2023-09-15 03:43:57,2023-09-07 03:43:57,True,True,2989,406,5
85,1820,Clothing,Men's,Used - Like New Adidas Men's Item,Used - Like New,213.06,NULL,Auckland,Waitakere,closed,2026-07-11 17:57:39,2026-07-23 17:57:39,NULL,False,True,35,3,1
86,6962,Collectables,Stamps,New Dyson Stamps Item,New,2216.8,2594.43,Auckland,Papakura,sold,2024-04-01 20:41:29,2024-04-09 20:41:29,2024-04-06 20:41:29,True,False,857,137,8
87,7084,Toys & Games,Outdoor Toys,Used - Average LG Outdoor Toys Item,Used - Average,178.76,227.04,Waikato,Hamilton,sold,2026-03-26 08:16:08,2026-04-05 08:16:08,2026-04-09 08:16:08,True,True,288,20,0
88,3736,Books & Music,CDs,Used - Average Hasbro CDs Item,Used - Average,268.77,335.6,Waikato,Tauranga,sold,2025-06-11 02:28:50,2025-06-21 02:28:50,2025-06-14 02:28:50,False,True,546,44,1
89,1641,Electronics,Laptops,Used - Good Hasbro Laptops Item,Used - Good,700.93,NULL,Bay of Plenty,Tauranga,sold,2024-07-17 10:16:39,2024-07-28 10:16:39,2024-07-30 10:16:39,True,False,1836,197,4
90,7027,Home & Living,Kitchen,Used - Average Dyson Kitchen Item,Used - Average,247.35,315.6,Auckland,Papakura,closed,2026-05-06 15:15:13,2026-05-20 15:15:13,NULL,True,True,164,30,1
91,6148,Books & Music,Instruments,New Fisher & Paykel Instruments Item,New,261.9,NULL,Southland,Gore,sold,2023-08-14 12:58:23,2023-08-22 12:58:23,2023-08-22 12:58:23,True,False,1140,66,0
92,4854,Collectables,Antiques,New Shimano Antiques Item,New,3059.66,3559.68,Bay of Plenty,Whakatane,sold,2025-04-13 03:33:55,2025-04-25 03:33:55,2025-04-21 03:33:55,True,True,603,109,0
93,2694,Home & Living,Lighting,New LG Lighting Item,New,61.89,NULL,Southland,Te Anau,closed,2025-12-22 07:56:53,2026-01-02 07:56:53,NULL,True,False,305,49,1
94,83,Computers,Networking,Used - Like New Breville Networking Item,Used - Like New,242.44,312.22,Wellington,Wellington City,closed,2025-02-24 13:32:37,2025-03-08 13:32:37,NULL,True,False,495,36,0
95,3634,Toys & Games,Outdoor Toys,Used - Good Breville Outdoor Toys Item,Used - Good,383.71,NULL,Auckland,Franklin,closed,2024-02-27 08:37:35,2024-03-10 08:37:35,NULL,True,False,1338,173,0
96,484,Toys & Games,Dolls,Used - Good Dyson Dolls Item,Used - Good,307.95,347.83,Auckland,Auckland City,closed,2024-12-03 16:01:14,2024-12-13 16:01:14,NULL,True,True,812,153,0
97,2496,Books & Music,Instruments,New Nike Instruments Item,New,123.18,NULL,Otago,Oamaru,sold,2026-03-09 21:48:27,2026-03-17 21:48:27,2026-03-21 21:48:27,True,True,147,9,2
98,8568,Baby & Kids,Feeding,New Samsung Feeding Item,New,297.74,357.72,Bay of Plenty,Whakatane,sold,2025-12-19 00:48:04,2025-12-28 00:48:04,2026-01-02 00:48:04,True,True,263,22,2
99,1536,Books & Music,Non-Fiction,Used - Like New Sony Non-Fiction Item,Used - Like New,456.39,NULL,Auckland,Waitakere,sold,2024-11-12 22:49:19,2024-11-24 22:49:19,2024-11-26 22:49:19,True,True,1963,99,6
100,1205,Toys & Games,Puzzles,Used - Good Apple Puzzles Item,Used - Good,434.15,NULL,West Coast,Hokitika,sold,2025-02-15 02:15:57,2025-02-25 02:15:57,2025-02-28 02:15:57,False,False,1414,124,4
101,9567,Sports,Water Sports,Used - Like New Fisher & Paykel Water Sports Item,Used - Like New,1480.36,1843.19,Waikato,Tauranga,closed,2024-08-03 13:05:26,2024-08-13 13:05:26,NULL,True,False,1293,231,1
102,6247,Collectables,Art,Used - Average Adidas Art Item,Used - Average,2966.75,3402.0,Auckland,Papakura,closed,2025-02-15 12:21:05,2025-02-23 12:21:05,NULL,True,True,1554,126,1
103,3603,Home & Living,Furniture,Used - Like New Adidas Furniture Item,Used - Like New,61.84,NULL,Auckland,Waitakere,closed,2023-09-08 02:29:33,2023-09-19 02:29:33,NULL,False,True,2015,286,2
104,5592,Books & Music,Vinyl Records,Used - Like New Dyson Vinyl Records Item,Used - Like New,57.71,67.13,Otago,Queenstown,closed,2023-08-31 04:22:14,2023-09-13 04:22:14,NULL,True,True,2971,233,3
105,7130,Electronics,Gaming Consoles,Used - Like New LG Gaming Consoles Item,Used - Like New,917.34,1158.55,Auckland,Papakura,sold,2024-03-18 01:40:53,2024-03-25 01:40:53,2024-04-01 01:40:53,False,True,1257,102,8
106,5061,Clothing,Accessories,Used - Good Trek Accessories Item,Used - Good,83.27,95.35,Wellington,Porirua,closed,2026-07-09 06:10:37,2026-07-22 06:10:37,NULL,True,True,73,12,1
107,277,Toys & Games,Outdoor Toys,Used - Good Nike Outdoor Toys Item,Used - Good,60.76,76.19,Manawatu-Wanganui,Levin,sold,2024-10-15 22:35:51,2024-10-23 22:35:51,2024-10-19 22:35:51,False,True,1291,147,6
108,5510,Baby & Kids,Feeding,New Dyson Feeding Item,New,277.61,NULL,Southland,Invercargill,closed,2023-12-29 03:51:43,2024-01-09 03:51:43,NULL,True,True,900,107,2
109,4962,Collectables,Coins,New Apple Coins Item,New,1959.39,2301.56,Canterbury,Timaru,sold,2023-11-06 13:02:29,2023-11-19 13:02:29,2023-11-07 13:02:29,False,True,1880,322,3
110,9695,Books & Music,Non-Fiction,Used - Like New Dyson Non-Fiction Item,Used - Like New,48.91,62.02,Canterbury,Christchurch,sold,2026-05-27 18:01:48,2026-06-08 18:01:48,2026-05-29 18:01:48,True,True,251,42,1
111,129,Toys & Games,Building Sets,Used - Good Kathmandu Building Sets Item,Used - Good,447.4,NULL,Otago,Dunedin,sold,2024-11-21 11:22:16,2024-11-30 11:22:16,2024-11-28 11:22:16,True,False,898,115,8
112,7990,Baby & Kids,Maternity,Used - Like New Apple Maternity Item,Used - Like New,105.76,118.85,Otago,Oamaru,sold,2025-10-09 03:13:15,2025-10-20 03:13:15,2025-10-22 03:13:15,False,False,908,120,5
113,7543,Toys & Games,Dolls,Used - Like New Apple Dolls Item,Used - Like New,478.18,618.24,Manawatu-Wanganui,Palmerston North,closed,2026-07-27 00:15:27,2026-08-07 00:15:27,NULL,True,False,91,17,2
114,3306,Clothing,Accessories,Used - Like New Adidas Accessories Item,Used - Like New,349.5,NULL,Auckland,Auckland City,closed,2026-06-01 05:38:41,2026-06-14 05:38:41,NULL,False,True,245,44,3
115,3409,Electronics,Phones,Used - Good Nike Phones Item,Used - Good,2194.5,2638.27,Wellington,Wellington City,closed,2025-02-08 01:15:57,2025-02-15 01:15:57,NULL,True,False,345,18,2
116,1373,Collectables,Coins,Used - Like New Fisher & Paykel Coins Item,Used - Like New,3437.06,3920.3,Nelson-Marlborough,Blenheim,closed,2025-12-16 18:36:50,2025-12-25 18:36:50,NULL,True,True,300,43,2
117,3738,Computers,Networking,Used - Like New Fisher & Paykel Networking Item,Used - Like New,4543.79,NULL,Wellington,Lower Hutt,sold,2025-03-06 04:37:41,2025-03-18 04:37:41,2025-03-18 04:37:41,True,True,1551,192,5
118,5207,Electronics,TVs,Used - Good Dyson TVs Item,Used - Good,1615.35,1920.47,Auckland,Franklin,closed,2024-08-16 16:46:36,2024-08-26 16:46:36,NULL,True,True,703,83,1
119,7088,Computers,Desktops,Used - Like New LG Desktops Item,Used - Like New,2258.0,NULL,Auckland,Auckland City,sold,2024-04-27 07:39:12,2024-05-05 07:39:12,2024-05-03 07:39:12,True,True,1868,175,8
120,9290,Home & Living,Lighting,Used - Average Breville Lighting Item,Used - Average,213.5,236.53,Auckland,Franklin,sold,2026-03-17 02:26:23,2026-03-29 02:26:23,2026-03-20 02:26:23,False,True,470,59,7
121,3174,Baby & Kids,Prams,Used - Average Breville Prams Item,Used - Average,464.47,561.83,Waikato,Tauranga,sold,2026-04-29 01:01:06,2026-05-11 01:01:06,2026-05-09 01:01:06,True,True,322,28,4
122,387,Sports,Water Sports,New Sony Water Sports Item,New,1038.92,NULL,Waikato,Hamilton,sold,2026-04-15 06:33:35,2026-04-29 06:33:35,2026-04-23 06:33:35,True,True,320,42,0
123,6723,Health & Beauty,Skincare,Used - Like New Nike Skincare Item,Used - Like New,182.17,NULL,Otago,Wanaka,active,2026-08-14 08:43:43,2026-08-27 08:43:43,NULL,False,True,58,3,3
124,7805,Computers,Networking,Used - Good Adidas Networking Item,Used - Good,1782.96,2257.34,Canterbury,Selwyn,sold,2024-02-16 14:46:11,2024-02-24 14:46:11,2024-03-01 14:46:11,False,False,677,55,8
125,1023,Health & Beauty,Haircare,Used - Good Breville Haircare Item,Used - Good,303.7,353.25,Canterbury,Waimakariri,sold,2024-03-25 13:43:50,2024-04-02 13:43:50,2024-04-04 13:43:50,False,True,2484,393,4
126,2121,Baby & Kids,Nursery,New Fisher & Paykel Nursery Item,New,244.27,NULL,Auckland,Papakura,withdrawn,2025-02-11 23:53:50,2025-02-21 23:53:50,NULL,True,True,1602,146,1
127,5064,Home & Living,Kitchen,Used - Like New Apple Kitchen Item,Used - Like New,456.18,502.18,Bay of Plenty,Whakatane,sold,2026-06-25 21:01:35,2026-07-04 21:01:35,2026-07-01 21:01:35,True,True,167,25,3
128,285,Health & Beauty,Skincare,New Samsung Skincare Item,New,246.01,NULL,Auckland,Papakura,closed,2024-10-01 08:45:14,2024-10-13 08:45:14,NULL,True,False,1626,164,2
129,5903,Books & Music,Instruments,Used - Good Lego Instruments Item,Used - Good,61.35,NULL,Auckland,Manukau,closed,2026-05-05 06:58:24,2026-05-16 06:58:24,NULL,False,True,308,38,2
130,6421,Sports,Fishing,Used - Like New Fisher & Paykel Fishing Item,Used - Like New,510.36,654.44,Auckland,Papakura,sold,2026-02-02 08:39:21,2026-02-13 08:39:21,2026-02-12 08:39:21,True,True,485,85,4
131,3985,Electronics,TVs,Used - Good Lego TVs Item,Used - Good,530.26,657.78,Auckland,Auckland City,closed,2024-05-31 04:41:24,2024-06-12 04:41:24,NULL,True,True,912,70,1
