ad_id,campaign_id,listing_id,listing_source,product_area,ad_type,impressions,clicks,revenue,event_date,campaign_metadata
38,CMP-00004,10950,motors,Motors,Featured,1719,125,267.89,2026-04-21,"{""advertiser_name"": ""Canterbury Car Sales"", ""budget_nzd"": 2000, ""target_audience"": ""18-25"", ""duration_days"": 7, ""campaign_type"": ""conversion""}"
39,CMP-00004,14448,property,Property,Featured,240,12,37.47,2023-08-23,"{""advertiser_name"": ""Property Brokers"", ""budget_nzd"": 1000, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 90, ""campaign_type"": ""awareness""}"
40,CMP-00004,2196,property,Property,Featured,1660,38,108.66,2024-02-02,"{""advertiser_name"": ""LJ Hooker"", ""budget_nzd"": 5000, ""target_audience"": ""All Ages"", ""duration_days"": 90, ""campaign_type"": ""retargeting""}"
41,CMP-00005,3897,motors,Motors,Highlight,884,40,121.35,2025-03-13,"{""advertiser_name"": ""Turners Cars"", ""budget_nzd"": 500, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 14, ""campaign_type"": ""seasonal""}"
42,CMP-00005,8904,property,Property,Sponsored,2957,77,133.01,2025-08-19,"{""advertiser_name"": ""Harcourts"", ""budget_nzd"": 500, ""target_audience"": ""35-45"", ""duration_days"": 60, ""campaign_type"": ""awareness""}"
43,CMP-00005,5515,marketplace,Marketplace,Gallery,537,13,10.45,2024-06-15,"{""advertiser_name"": ""Baby Warehouse"", ""budget_nzd"": 1000, ""target_audience"": ""25-35"", ""duration_days"": 14, ""campaign_type"": ""launch""}"
44,CMP-00005,5339,property,Property,Sponsored,410,10,35.74,2023-12-07,"{""advertiser_name"": ""Ray White"", ""budget_nzd"": 50000, ""target_audience"": ""18-25"", ""duration_days"": 7, ""campaign_type"": ""conversion""}"
45,CMP-00005,12258,property,Property,Sponsored,821,40,65.65,2025-03-05,"{""advertiser_name"": ""Tommy's Real Estate"", ""budget_nzd"": 500, ""target_audience"": ""45-55"", ""duration_days"": 60, ""campaign_type"": ""seasonal""}"
46,CMP-00005,49862,marketplace,Marketplace,Featured,1416,71,42.64,2024-01-12,"{""advertiser_name"": ""HomeStyle NZ"", ""budget_nzd"": 5000, ""target_audience"": ""45-55"", ""duration_days"": 60, ""campaign_type"": ""retargeting""}"
47,CMP-00005,37562,marketplace,Marketplace,Featured,632,39,64.12,2026-01-22,"{""advertiser_name"": ""Fashion Forward"", ""budget_nzd"": 10000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 30, ""campaign_type"": ""launch""}"
48,CMP-00005,46168,marketplace,Marketplace,Featured,306,15,3.94,2023-12-22,"{""advertiser_name"": ""NZ Retail Group"", ""budget_nzd"": 5000, ""target_audience"": ""45-55"", ""duration_days"": 30, ""campaign_type"": ""seasonal""}"
49,CMP-00005,44803,marketplace,Marketplace,Banner,6789,287,101.5,2024-12-26,"{""advertiser_name"": ""Tech Deals NZ"", ""budget_nzd"": 50000, ""target_audience"": ""25-35"", ""duration_days"": 30, ""campaign_type"": ""retargeting""}"
50,CMP-00005,4327,jobs,Jobs,Gallery,394,15,5.52,2024-01-21,"{""advertiser_name"": ""Michael Page"", ""budget_nzd"": 2000, ""target_audience"": ""18-25"", ""duration_days"": 14, ""campaign_type"": ""awareness""}"
51,CMP-00006,4599,motors,Motors,Highlight,779,32,47.88,2024-05-01,"{""advertiser_name"": ""Turners Cars"", ""budget_nzd"": 50000, ""target_audience"": ""35-45"", ""duration_days"": 60, ""campaign_type"": ""launch""}"
52,CMP-00006,6058,property,Property,Banner,9659,222,512.55,2025-05-05,"{""advertiser_name"": ""Tommy's Real Estate"", ""budget_nzd"": 10000, ""target_audience"": ""55+"", ""duration_days"": 60, ""campaign_type"": ""seasonal""}"
53,CMP-00006,621,property,Property,Highlight,297,6,7.57,2024-12-28,"{""advertiser_name"": ""Ray White"", ""budget_nzd"": 500, ""target_audience"": ""45-55"", ""duration_days"": 30, ""campaign_type"": ""awareness""}"
54,CMP-00006,27281,marketplace,Marketplace,Gallery,286,6,15.0,2024-11-23,"{""advertiser_name"": ""NZ Retail Group"", ""budget_nzd"": 500, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 7, ""campaign_type"": ""awareness""}"
55,CMP-00006,20946,marketplace,Marketplace,Banner,3739,46,37.25,2025-10-31,"{""advertiser_name"": ""Collectables Plus"", ""budget_nzd"": 20000, ""target_audience"": ""35-45"", ""duration_days"": 90, ""campaign_type"": ""awareness""}"
56,CMP-00006,35964,marketplace,Marketplace,Featured,1683,120,91.97,2025-05-09,"{""advertiser_name"": ""HomeStyle NZ"", ""budget_nzd"": 50000, ""target_audience"": ""Canterbury Families"", ""duration_days"": 30, ""campaign_type"": ""launch""}"
57,CMP-00006,14337,motors,Motors,Gallery,213,7,6.33,2026-01-14,"{""advertiser_name"": ""Drive NZ"", ""budget_nzd"": 2000, ""target_audience"": ""18-25"", ""duration_days"": 90, ""campaign_type"": ""awareness""}"
58,CMP-00006,32090,marketplace,Marketplace,Featured,1095,74,132.78,2025-11-23,"{""advertiser_name"": ""HomeStyle NZ"", ""budget_nzd"": 1000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 90, ""campaign_type"": ""launch""}"
59,CMP-00006,3716,property,Property,Banner,1147,15,22.5,2024-09-07,"{""advertiser_name"": ""Tommy's Real Estate"", ""budget_nzd"": 10000, ""target_audience"": ""55+"", ""duration_days"": 30, ""campaign_type"": ""awareness""}"
60,CMP-00006,7445,property,Property,Sponsored,3527,123,203.11,2024-09-10,"{""advertiser_name"": ""Tommy's Real Estate"", ""budget_nzd"": 10000, ""target_audience"": ""25-35"", ""duration_days"": 30, ""campaign_type"": ""awareness""}"
61,CMP-00007,32545,marketplace,Marketplace,Banner,2256,23,16.2,2024-10-18,"{""advertiser_name"": ""HomeStyle NZ"", ""budget_nzd"": 10000, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 30, ""campaign_type"": ""conversion""}"
62,CMP-00007,26465,marketplace,Marketplace,Featured,343,10,23.58,2025-02-14,"{""advertiser_name"": ""Game On NZ"", ""budget_nzd"": 50000, ""target_audience"": ""45-55"", ""duration_days"": 7, ""campaign_type"": ""conversion""}"
63,CMP-00007,962,motors,Motors,Gallery,994,25,72.6,2025-10-03,"{""advertiser_name"": ""Wellington Motors"", ""budget_nzd"": 10000, ""target_audience"": ""45-55"", ""duration_days"": 60, ""campaign_type"": ""conversion""}"
64,CMP-00007,2147,jobs,Jobs,Sponsored,4324,111,176.31,2025-07-27,"{""advertiser_name"": ""Hudson"", ""budget_nzd"": 10000, ""target_audience"": ""45-55"", ""duration_days"": 60, ""campaign_type"": ""seasonal""}"
65,CMP-00007,7162,jobs,Jobs,Gallery,299,13,22.34,2025-04-08,"{""advertiser_name"": ""Michael Page"", ""budget_nzd"": 1000, ""target_audience"": ""25-35"", ""duration_days"": 14, ""campaign_type"": ""retargeting""}"
66,CMP-00007,2131,motors,Motors,Highlight,224,10,7.14,2025-10-25,"{""advertiser_name"": ""NZ Motors Ltd"", ""budget_nzd"": 10000, ""target_audience"": ""18-25"", ""duration_days"": 60, ""campaign_type"": ""awareness""}"
67,CMP-00007,34789,marketplace,Marketplace,Highlight,550,10,2.75,2025-02-04,"{""advertiser_name"": ""NZ Retail Group"", ""budget_nzd"": 5000, ""target_audience"": ""45-55"", ""duration_days"": 7, ""campaign_type"": ""launch""}"
68,CMP-00007,4372,motors,Motors,Featured,1053,40,33.79,2024-12-11,"{""advertiser_name"": ""NZ Motors Ltd"", ""budget_nzd"": 5000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 60, ""campaign_type"": ""seasonal""}"
69,CMP-00007,38993,marketplace,Marketplace,Gallery,259,6,10.88,2025-02-27,"{""advertiser_name"": ""Tech Deals NZ"", ""budget_nzd"": 50000, ""target_audience"": ""35-45"", ""duration_days"": 90, ""campaign_type"": ""conversion""}"
70,CMP-00007,13154,jobs,Jobs,Sponsored,3465,49,45.75,2025-02-22,"{""advertiser_name"": ""Michael Page"", ""budget_nzd"": 1000, ""target_audience"": ""All Ages"", ""duration_days"": 30, ""campaign_type"": ""retargeting""}"
71,CMP-00008,48221,marketplace,Marketplace,Gallery,483,22,48.57,2023-11-28,"{""advertiser_name"": ""Fashion Forward"", ""budget_nzd"": 5000, ""target_audience"": ""Canterbury Families"", ""duration_days"": 90, ""campaign_type"": ""launch""}"
72,CMP-00008,11943,motors,Motors,Highlight,478,13,13.11,2024-09-14,"{""advertiser_name"": ""Canterbury Car Sales"", ""budget_nzd"": 1000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 30, ""campaign_type"": ""seasonal""}"
73,CMP-00008,48220,marketplace,Marketplace,Featured,1179,66,118.86,2024-03-20,"{""advertiser_name"": ""Game On NZ"", ""budget_nzd"": 20000, ""target_audience"": ""55+"", ""duration_days"": 30, ""campaign_type"": ""retargeting""}"
74,CMP-00008,8879,jobs,Jobs,Sponsored,2658,82,64.58,2025-02-18,"{""advertiser_name"": ""Michael Page"", ""budget_nzd"": 500, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 30, ""campaign_type"": ""launch""}"
75,CMP-00008,5079,jobs,Jobs,Featured,1757,119,175.13,2025-02-02,"{""advertiser_name"": ""Hudson"", ""budget_nzd"": 10000, ""target_audience"": ""18-25"", ""duration_days"": 90, ""campaign_type"": ""launch""}"
76,CMP-00008,206,marketplace,Marketplace,Sponsored,4663,211,301.35,2025-09-16,"{""advertiser_name"": ""NZ Retail Group"", ""budget_nzd"": 10000, ""target_audience"": ""Canterbury Families"", ""duration_days"": 60, ""campaign_type"": ""launch""}"
77,CMP-00008,5085,property,Property,Gallery,60,1,2.05,2025-01-20,"{""advertiser_name"": ""Tommy's Real Estate"", ""budget_nzd"": 500, ""target_audience"": ""55+"", ""duration_days"": 7, ""campaign_type"": ""seasonal""}"
78,CMP-00008,13159,jobs,Jobs,Highlight,885,10,13.82,2025-06-20,"{""advertiser_name"": ""Randstad"", ""budget_nzd"": 500, ""target_audience"": ""45-55"", ""duration_days"": 90, ""campaign_type"": ""awareness""}"
79,CMP-00008,47634,marketplace,Marketplace,Featured,1107,73,172.74,2023-09-29,"{""advertiser_name"": ""Baby Warehouse"", ""budget_nzd"": 2000, ""target_audience"": ""Wellington Professionals"", ""duration_days"": 14, ""campaign_type"": ""conversion""}"
80,CMP-00008,37522,marketplace,Marketplace,Highlight,384,10,19.15,2024-06-09,"{""advertiser_name"": ""Tech Deals NZ"", ""budget_nzd"": 500, ""target_audience"": ""25-35"", ""duration_days"": 7, ""campaign_type"": ""seasonal""}"
81,CMP-00009,9103,property,Property,Banner,3848,175,252.47,2025-04-24,"{""advertiser_name"": ""Tommy's Real Estate"", ""budget_nzd"": 1000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 30, ""campaign_type"": ""retargeting""}"
82,CMP-00009,22758,marketplace,Marketplace,Highlight,285,5,1.28,2024-07-03,"{""advertiser_name"": ""Sports Direct NZ"", ""budget_nzd"": 10000, ""target_audience"": ""55+"", ""duration_days"": 90, ""campaign_type"": ""launch""}"
83,CMP-00009,1503,jobs,Jobs,Sponsored,4118,139,209.36,2024-12-30,"{""advertiser_name"": ""Trade Me Jobs"", ""budget_nzd"": 2000, ""target_audience"": ""55+"", ""duration_days"": 7, ""campaign_type"": ""seasonal""}"
84,CMP-00009,14410,jobs,Jobs,Gallery,294,4,6.95,2026-01-10,"{""advertiser_name"": ""Michael Page"", ""budget_nzd"": 500, ""target_audience"": ""All Ages"", ""duration_days"": 60, ""campaign_type"": ""seasonal""}"
85,CMP-00009,7567,jobs,Jobs,Highlight,239,7,16.73,2024-10-30,"{""advertiser_name"": ""Randstad"", ""budget_nzd"": 20000, ""target_audience"": ""All Ages"", ""duration_days"": 90, ""campaign_type"": ""launch""}"
86,CMP-00009,9802,property,Property,Featured,1756,95,219.93,2026-03-03,"{""advertiser_name"": ""Bayleys"", ""budget_nzd"": 2000, ""target_audience"": ""Canterbury Families"", ""duration_days"": 90, ""campaign_type"": ""conversion""}"
87,CMP-00009,8983,motors,Motors,Sponsored,2290,39,48.85,2025-02-24,"{""advertiser_name"": ""Auckland Auto Group"", ""budget_nzd"": 1000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 60, ""campaign_type"": ""launch""}"
88,CMP-00009,46744,marketplace,Marketplace,Banner,3041,54,54.95,2026-08-14,"{""advertiser_name"": ""HomeStyle NZ"", ""budget_nzd"": 500, ""target_audience"": ""35-45"", ""duration_days"": 90, ""campaign_type"": ""retargeting""}"
89,CMP-00009,11391,marketplace,Marketplace,Banner,2607,78,127.5,2025-08-21,"{""advertiser_name"": ""Sports Direct NZ"", ""budget_nzd"": 50000, ""target_audience"": ""All Ages"", ""duration_days"": 7, ""campaign_type"": ""seasonal""}"
90,CMP-00009,14171,property,Property,Highlight,235,5,18.03,2025-06-26,"{""advertiser_name"": ""Harcourts"", ""budget_nzd"": 50000, ""target_audience"": ""45-55"", ""duration_days"": 14, ""campaign_type"": ""conversion""}"
91,CMP-00010,18537,motors,Motors,Highlight,975,39,92.29,2026-04-15,"{""advertiser_name"": ""Turners Cars"", ""budget_nzd"": 5000, ""target_audience"": ""55+"", ""duration_days"": 14, ""campaign_type"": ""launch""}"
92,CMP-00010,9444,motors,Motors,Featured,1477,93,148.4,2025-04-09,"{""advertiser_name"": ""Pacific Motors"", ""budget_nzd"": 20000, ""target_audience"": ""18-25"", ""duration_days"": 14, ""campaign_type"": ""retargeting""}"
93,CMP-00010,5273,property,Property,Gallery,611,19,10.33,2025-10-13,"{""advertiser_name"": ""Barfoot & Thompson"", ""budget_nzd"": 5000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 60, ""campaign_type"": ""awareness""}"
94,CMP-00010,10046,property,Property,Featured,1241,71,267.71,2024-02-08,"{""advertiser_name"": ""Barfoot & Thompson"", ""budget_nzd"": 1000, ""target_audience"": ""35-45"", ""duration_days"": 14, ""campaign_type"": ""retargeting""}"
95,CMP-00010,45233,marketplace,Marketplace,Sponsored,1077,35,50.96,2025-09-23,"{""advertiser_name"": ""Baby Warehouse"", ""budget_nzd"": 2000, ""target_audience"": ""18-25"", ""duration_days"": 7, ""campaign_type"": ""awareness""}"
96,CMP-00010,19285,motors,Motors,Gallery,91,2,2.84,2024-03-17,"{""advertiser_name"": ""Wellington Motors"", ""budget_nzd"": 2000, ""target_audience"": ""35-45"", ""duration_days"": 30, ""campaign_type"": ""seasonal""}"
97,CMP-00010,8089,property,Property,Featured,1531,108,481.86,2026-07-20,"{""advertiser_name"": ""Ray White"", ""budget_nzd"": 1000, ""target_audience"": ""All Ages"", ""duration_days"": 30, ""campaign_type"": ""seasonal""}"
98,CMP-00010,11639,property,Property,Featured,631,29,128.62,2024-10-09,"{""advertiser_name"": ""Tommy's Real Estate"", ""budget_nzd"": 50000, ""target_audience"": ""25-35"", ""duration_days"": 60, ""campaign_type"": ""retargeting""}"
99,CMP-00010,14808,motors,Motors,Banner,7723,277,391.33,2024-08-05,"{""advertiser_name"": ""Pacific Motors"", ""budget_nzd"": 20000, ""target_audience"": ""All Ages"", ""duration_days"": 7, ""campaign_type"": ""conversion""}"
100,CMP-00010,14250,property,Property,Sponsored,2083,70,183.4,2024-05-26,"{""advertiser_name"": ""Bayleys"", ""budget_nzd"": 1000, ""target_audience"": ""35-45"", ""duration_days"": 30, ""campaign_type"": ""seasonal""}"
101,CMP-00011,3694,property,Property,Gallery,326,9,11.39,2025-04-01,"{""advertiser_name"": ""LJ Hooker"", ""budget_nzd"": 20000, ""target_audience"": ""Canterbury Families"", ""duration_days"": 90, ""campaign_type"": ""retargeting""}"
102,CMP-00011,34875,marketplace,Marketplace,Featured,931,24,51.68,2026-04-30,"{""advertiser_name"": ""NZ Retail Group"", ""budget_nzd"": 1000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 30, ""campaign_type"": ""conversion""}"
103,CMP-00011,2837,property,Property,Banner,4579,221,683.81,2023-11-07,"{""advertiser_name"": ""Harcourts"", ""budget_nzd"": 10000, ""target_audience"": ""25-35"", ""duration_days"": 14, ""campaign_type"": ""seasonal""}"
104,CMP-00011,19245,marketplace,Marketplace,Featured,1933,51,41.94,2024-02-28,"{""advertiser_name"": ""Collectables Plus"", ""budget_nzd"": 500, ""target_audience"": ""45-55"", ""duration_days"": 7, ""campaign_type"": ""conversion""}"
105,CMP-00011,35770,marketplace,Marketplace,Highlight,237,6,9.26,2024-07-08,"{""advertiser_name"": ""Fashion Forward"", ""budget_nzd"": 20000, ""target_audience"": ""All Ages"", ""duration_days"": 14, ""campaign_type"": ""conversion""}"
106,CMP-00011,32858,marketplace,Marketplace,Sponsored,4366,116,163.98,2024-10-18,"{""advertiser_name"": ""Tech Deals NZ"", ""budget_nzd"": 500, ""target_audience"": ""All Ages"", ""duration_days"": 60, ""campaign_type"": ""retargeting""}"
107,CMP-00011,42290,marketplace,Marketplace,Gallery,299,8,1.6,2026-04-05,"{""advertiser_name"": ""Game On NZ"", ""budget_nzd"": 1000, ""target_audience"": ""All Ages"", ""duration_days"": 30, ""campaign_type"": ""seasonal""}"
108,CMP-00011,33886,marketplace,Marketplace,Highlight,910,44,86.09,2026-02-04,"{""advertiser_name"": ""NZ Retail Group"", ""budget_nzd"": 500, ""target_audience"": ""25-35"", ""duration_days"": 60, ""campaign_type"": ""awareness""}"
109,CMP-00011,16267,marketplace,Marketplace,Featured,778,28,54.52,2025-08-14,"{""advertiser_name"": ""Sports Direct NZ"", ""budget_nzd"": 10000, ""target_audience"": ""All Ages"", ""duration_days"": 30, ""campaign_type"": ""launch""}"
110,CMP-00011,8997,motors,Motors,Highlight,318,15,16.92,2024-08-18,"{""advertiser_name"": ""Pacific Motors"", ""budget_nzd"": 1000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 60, ""campaign_type"": ""conversion""}"
111,CMP-00012,14326,property,Property,Featured,1638,42,114.18,2026-02-05,"{""advertiser_name"": ""Ray White"", ""budget_nzd"": 20000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 30, ""campaign_type"": ""retargeting""}"
112,CMP-00012,21256,marketplace,Marketplace,Featured,1947,116,75.16,2025-06-16,"{""advertiser_name"": ""Tech Deals NZ"", ""budget_nzd"": 10000, ""target_audience"": ""Auckland 25-45"", ""duration_days"": 60, ""campaign_type"": ""conversion""}"
113,CMP-00012,494,jobs,Jobs,Featured,1262,20,4.89,2025-04-01,"{""advertiser_name"": ""Hays Recruitment"", ""budget_nzd"": 2000, ""target_audience"": ""55+"", ""duration_days"": 7, ""campaign_type"": ""awareness""}"
