listing_id,user_id,industry,subcategory,role_type,employment_type,title,salary_min,salary_max,salary_display,region,city,status,listed_date,close_date,remote_option,experience_level,view_count,application_count
29,7616,Manufacturing,Quality Control,Permanent,Full Time,Machine Operator,66107.67,74608.04,"$66,107-$74,608",Bay of Plenty,Rotorua,filled,2025-03-24 08:19:33,2025-04-28 08:19:33,False,Mid,1500,6
30,7681,Technology,QA/Testing,Permanent,Full Time,QA Engineer,78821.03,99156.63,"$78,821-$99,156",Canterbury,Ashburton,closed,2026-03-07 21:35:37,2026-04-13 21:35:37,True,Mid,900,3
31,7891,Hospitality,Events,Permanent,Full Time,Barista,79711.74,101208.24,$79k-$101k,Waikato,Rotorua,closed,2025-07-17 21:27:32,2025-08-11 21:27:32,False,Mid,1852,7
32,8697,Construction,Electricians,Permanent,Full Time,Site Manager,47125.94,56543.94,"$47,125-$56,543",Auckland,Auckland City,expired,2025-01-30 12:46:06,2025-02-16 12:46:06,False,Entry,2506,6
33,7428,Healthcare,Doctors,Contract,Part Time,Registered Nurse,118698.71,151688.33,$72/hour,Waikato,Cambridge,closed,2023-08-11 22:03:34,2023-09-06 22:03:34,False,Senior,3437,18
34,8479,Technology,QA/Testing,Contract,Full Time,Product Manager,NULL,NULL,Negotiable,Canterbury,Christchurch,closed,2023-08-05 08:20:39,2023-09-05 08:20:39,False,Senior,2602,6
35,7589,Retail,Sales Assistants,Permanent,Part Time,Store Manager,65724.21,83969.53,"$65,724-$83,969",Auckland,Manukau,expired,2025-07-18 05:56:00,2025-08-08 05:56:00,False,Mid,1390,7
36,7571,Healthcare,Doctors,Permanent,Part Time,Registered Nurse,46703.37,58806.94,"$46,703-$58,806",West Coast,Hokitika,expired,2026-07-11 20:46:39,2026-08-04 20:46:39,True,Entry,226,7
37,8458,Healthcare,Allied Health,Permanent,Full Time,General Practitioner,45625.11,51947.15,"$45,625-$51,947",Waikato,Cambridge,closed,2024-02-18 09:44:21,2024-03-29 09:44:21,False,Entry,3785,1
38,7757,Hospitality,Restaurant Managers,Permanent,Casual,Events Coordinator,112606.35,127131.81,$112k-$127k,Northland,Paihia,closed,2026-07-03 10:13:18,2026-08-07 10:13:18,True,Senior,203,5
39,7590,Hospitality,Bar Staff,Permanent,Full Time,Events Coordinator,219887.33,272862.42,$219k-$272k,Auckland,Auckland City,closed,2024-08-10 16:00:54,2024-09-14 16:00:54,False,Executive,4277,1
40,8338,Legal,Legal Secretaries,Contract,Casual,Legal Executive,120847.48,154864.97,$74/hour,Taranaki,Stratford,filled,2024-10-06 23:02:35,2024-11-10 23:02:35,False,Senior,3942,1
41,7679,Government,Policy Analysts,Contract,Full Time,Policy Analyst,78558.62,100894.02,$48/hour,Waikato,Rotorua,expired,2025-12-05 04:50:52,2025-12-21 04:50:52,False,Mid,1607,6
42,8956,Hospitality,Bar Staff,Permanent,Full Time,Duty Manager,NULL,NULL,Negotiable,Wellington,Lower Hutt,expired,2024-07-04 12:59:32,2024-07-31 12:59:32,True,Mid,3175,5
43,7261,Finance,Auditors,Permanent,Part Time,Payroll Officer,191466.61,210958.46,$191k-$210k,Bay of Plenty,Mount Maunganui,filled,2024-12-31 05:23:27,2025-01-27 05:23:27,False,Executive,1677,5
44,7637,Accounting,Bookkeepers,Contract,Part Time,Management Accountant,69034.21,81736.27,$39/hour,Canterbury,Timaru,closed,2025-05-30 23:38:38,2025-06-28 23:38:38,True,Mid,1967,3
45,8325,Retail,E-commerce,Permanent,Full Time,Visual Merchandiser,223022.22,271927.26,$223k-$271k,Wellington,Upper Hutt,filled,2023-12-05 15:12:59,2023-12-25 15:12:59,False,Executive,3539,4
46,7411,Construction,Carpenters,Contract,Part Time,Project Manager,125279.54,153893.78,$73/hour,Auckland,Auckland City,closed,2025-08-06 23:37:19,2025-09-12 23:37:19,False,Senior,1656,2
47,8758,Manufacturing,Machine Operators,Permanent,Full Time,Quality Controller,100426.16,110552.28,$100k-$110k,Canterbury,Ashburton,expired,2024-07-26 21:47:41,2024-09-06 21:47:41,False,Senior,1790,6
48,7770,Healthcare,Doctors,Permanent,Part Time,General Practitioner,79580.33,90664.45,"$79,580-$90,664",Bay of Plenty,Rotorua,expired,2026-01-04 11:00:23,2026-01-31 11:00:23,True,Mid,1208,4
49,7848,Accounting,Financial Controllers,Permanent,Full Time,Financial Controller,76109.98,93986.81,"$76,109-$93,986",Otago,Oamaru,expired,2023-12-24 12:58:28,2024-01-09 12:58:28,False,Mid,3984,6
50,7460,Construction,Plumbers,Permanent,Full Time,Electrician,122397.46,139689.33,$122k-$139k,Nelson-Marlborough,Nelson,expired,2026-04-02 05:34:56,2026-04-28 05:34:56,True,Senior,486,1
51,7638,Hospitality,Restaurant Managers,Permanent,Casual,Events Coordinator,47214.16,55084.18,"$47,214-$55,084",Auckland,Waitakere,filled,2024-01-27 12:47:14,2024-03-02 12:47:14,False,Entry,5344,5
52,7262,Construction,Project Managers,Permanent,Part Time,Project Manager,75209.47,96211.27,"$75,209-$96,211",Wellington,Porirua,filled,2024-04-15 16:41:44,2024-05-24 16:41:44,False,Mid,4154,5
53,7898,Accounting,Accountants,Contract,Full Time,Financial Controller,45812.45,55816.27,$26/hour,Canterbury,Christchurch,expired,2025-07-31 10:40:01,2025-08-27 10:40:01,False,Entry,2094,4
54,7909,Finance,Financial Analysts,Temporary,Full Time,Credit Controller,NULL,NULL,Negotiable,Southland,Invercargill,closed,2024-08-28 15:45:48,2024-10-09 15:45:48,True,Mid,3704,12
55,7750,Government,Policy Analysts,Temporary,Full Time,Regulatory Officer,65922.73,74036.53,"$65,922-$74,036",Auckland,Papakura,closed,2024-05-18 19:42:36,2024-07-02 19:42:36,False,Mid,2215,5
56,8821,Technology,DevOps,Contract,Part Time,QA Engineer,100087.99,111424.83,$53/hour,Wellington,Kapiti Coast,expired,2024-07-02 05:01:08,2024-08-09 05:01:08,True,Senior,2679,2
57,7663,Government,Policy Analysts,Permanent,Full Time,Regulatory Officer,47991.91,61988.89,"$47,991-$61,988",Waikato,Tauranga,filled,2025-05-29 11:01:40,2025-06-29 11:01:40,False,Entry,1528,2
58,8426,Healthcare,Pharmacists,Contract,Full Time,Pharmacist,65955.48,80876.85,$38/hour,Otago,Queenstown,filled,2026-06-10 21:39:17,2026-07-08 21:39:17,False,Mid,283,5
59,8257,Healthcare,Mental Health,Permanent,Part Time,Physiotherapist,46307.09,54784.0,"$46,307-$54,784",Auckland,Waitakere,closed,2025-04-27 10:18:06,2025-06-07 10:18:06,False,Entry,1188,1
60,8306,Retail,Sales Assistants,Permanent,Full Time,E-commerce Manager,NULL,NULL,Negotiable,Auckland,North Shore,active,2026-08-19 04:46:14,2026-09-14 04:46:14,True,Entry,133,8
61,7202,Construction,Electricians,Contract,Part Time,Quantity Surveyor,72281.78,83093.8,$39/hour,Otago,Oamaru,filled,2025-03-09 08:59:16,2025-04-12 08:59:16,False,Mid,1444,4
62,8809,Healthcare,Doctors,Permanent,Full Time,Healthcare Assistant,51434.13,58499.1,"$51,434-$58,499",Otago,Wanaka,closed,2026-07-26 06:04:12,2026-09-05 06:04:12,False,Entry,122,2
63,8618,Agriculture,Dairy,Permanent,Full Time,Orchard Supervisor,73340.97,81402.77,"$73,340-$81,402",Auckland,Auckland City,filled,2025-10-01 13:45:32,2025-11-02 13:45:32,False,Mid,879,3
64,7033,Finance,Financial Analysts,Permanent,Full Time,Financial Analyst,74825.83,86927.29,"$74,825-$86,927",Canterbury,Timaru,closed,2024-04-06 18:13:22,2024-05-10 18:13:22,False,Mid,3507,2
65,7331,Education,Teacher Aides,Permanent,Full Time,Teacher Aide,125347.39,162591.15,$125k-$162k,Northland,Kerikeri,filled,2023-11-01 05:34:08,2023-11-17 05:34:08,False,Senior,3669,3
66,8304,Retail,Buyers,Permanent,Full Time,Sales Consultant,109082.65,131822.02,$109k-$131k,Canterbury,Christchurch,closed,2024-07-24 21:45:54,2024-08-23 21:45:54,False,Senior,2658,5
67,8512,Technology,Product Managers,Permanent,Full Time,Data Product Manager,47822.46,54451.25,"$47,822-$54,451",Manawatu-Wanganui,Feilding,closed,2024-02-12 04:29:34,2024-02-27 04:29:34,False,Entry,2516,7
68,7429,Technology,System Administrators,Permanent,Full Time,Junior DevOps Engineer,49036.5,58412.83,"$49,036-$58,412",Hawkes Bay,Napier,closed,2024-11-24 01:23:15,2024-12-20 01:23:15,True,Entry,3327,6
69,7094,Government,Policy Analysts,Permanent,Full Time,Communications Advisor,73685.54,95100.62,"$73,685-$95,100",Hawkes Bay,Hastings,closed,2026-01-25 04:13:43,2026-02-14 04:13:43,False,Mid,770,7
70,7826,Education,Teacher Aides,Permanent,Full Time,SENCO,125097.96,154550.57,$125k-$154k,Wellington,Kapiti Coast,expired,2025-12-15 14:57:00,2026-01-29 14:57:00,False,Senior,1637,5
71,8891,Construction,Site Managers,Contract,Full Time,Site Manager,79931.04,93281.9,$44/hour,Auckland,Waitakere,closed,2024-10-26 08:49:31,2024-11-16 08:49:31,False,Mid,3088,6
72,7401,Healthcare,Nurses,Temporary,Full Time,Healthcare Assistant,NULL,NULL,Negotiable,Auckland,Papakura,closed,2024-12-25 19:17:42,2025-01-18 19:17:42,False,Entry,1463,4
73,7061,Finance,Accountants,Permanent,Full Time,Payroll Officer,NULL,NULL,Negotiable,Auckland,Waitakere,closed,2024-06-20 14:11:50,2024-07-04 14:11:50,False,Senior,1766,5
74,7501,Manufacturing,Quality Control,Permanent,Full Time,Quality Controller,66186.08,77848.96,"$66,186-$77,848",Auckland,Papakura,filled,2025-11-22 16:54:00,2025-12-20 16:54:00,False,Mid,1634,4
75,8334,Education,Administration,Permanent,Full Time,SENCO,178304.65,212107.11,$178k-$212k,Bay of Plenty,Mount Maunganui,closed,2026-04-02 00:15:37,2026-05-08 00:15:37,False,Executive,811,7
76,8690,Finance,Auditors,Permanent,Full Time,Payroll Officer,77356.85,88453.04,"$77,356-$88,453",Canterbury,Waimakariri,closed,2024-08-25 07:44:08,2024-09-27 07:44:08,False,Mid,3387,5
77,8789,Accounting,Accountants,Contract,Full Time,Financial Controller,71845.72,93035.44,$44/hour,Waikato,Taupo,closed,2025-11-29 18:44:14,2025-12-29 18:44:14,False,Mid,1737,2
78,7891,Technology,QA/Testing,Contract,Full Time,Senior Software Engineer,105559.75,119157.39,$57/hour,Taranaki,Hawera,filled,2026-08-22 18:43:06,2026-09-22 18:43:06,True,Senior,144,5
79,7997,Accounting,Management Accountants,Permanent,Casual,Management Accountant,68991.92,81342.45,"$68,991-$81,342",Auckland,Franklin,closed,2023-10-07 23:43:42,2023-10-25 23:43:42,False,Mid,4555,4
80,8621,Hospitality,Chefs,Contract,Full Time,Restaurant Manager,NULL,NULL,Negotiable,Wellington,Lower Hutt,expired,2023-10-23 18:09:02,2023-11-09 18:09:02,True,Senior,3252,5
81,8864,Government,Project Managers,Permanent,Part Time,Project Manager,46465.97,56293.75,"$46,465-$56,293",Hawkes Bay,Napier,closed,2026-02-28 08:57:46,2026-03-18 08:57:46,False,Entry,1080,3
82,7020,Accounting,Financial Controllers,Temporary,Full Time,Financial Controller,65420.34,73386.25,"$65,420-$73,386",Auckland,Auckland City,expired,2026-06-14 02:11:06,2026-07-28 02:11:06,True,Mid,318,3
83,7368,Technology,UX Designers,Temporary,Full Time,QA Engineer,49898.05,55775.64,"$49,898-$55,775",Auckland,Franklin,filled,2024-01-02 08:00:04,2024-02-01 08:00:04,True,Entry,3847,3
84,8873,Accounting,Bookkeepers,Permanent,Full Time,Management Accountant,NULL,NULL,Negotiable,Auckland,Franklin,filled,2024-12-07 04:48:40,2024-12-24 04:48:40,True,Mid,2549,5
85,8113,Hospitality,Restaurant Managers,Contract,Part Time,Restaurant Manager,46432.3,57327.49,$27/hour,Waikato,Hamilton,filled,2026-07-15 08:09:16,2026-08-22 08:09:16,False,Entry,193,6
86,7306,Education,Teachers,Contract,Full Time,Primary Teacher,115211.39,128195.25,$61/hour,Auckland,North Shore,closed,2026-05-31 20:07:39,2026-06-28 20:07:39,True,Senior,423,2
87,8902,Agriculture,Viticulture,Contract,Full Time,Viticulturist,77459.11,97675.32,$46/hour,Waikato,Tauranga,expired,2026-04-19 02:15:14,2026-05-13 02:15:14,False,Mid,787,21
88,7195,Technology,Product Managers,Permanent,Full Time,QA Engineer,69214.59,87169.78,"$69,214-$87,169",Auckland,Manukau,expired,2024-07-02 16:13:31,2024-07-26 16:13:31,False,Mid,2170,2
89,8474,Education,Administration,Permanent,Full Time,Primary Teacher,102313.44,119840.95,$102k-$119k,Gisborne,Gisborne,filled,2026-04-27 05:26:07,2026-06-09 05:26:07,False,Senior,601,3
90,7319,Hospitality,Restaurant Managers,Permanent,Full Time,Events Coordinator,67004.45,74272.41,"$67,004-$74,272",Auckland,Waitakere,closed,2023-10-22 15:40:36,2023-11-25 15:40:36,True,Mid,2450,6
91,7623,Government,Communications,Permanent,Full Time,Policy Analyst,49965.1,59655.46,"$49,965-$59,655",Canterbury,Timaru,expired,2023-10-04 18:53:28,2023-10-26 18:53:28,False,Entry,3169,5
92,7158,Government,Project Managers,Contract,Casual,Communications Advisor,78419.4,99002.96,$47/hour,Manawatu-Wanganui,Whanganui,expired,2025-11-18 16:29:05,2025-12-12 16:29:05,False,Mid,670,1
93,7325,Retail,Buyers,Temporary,Full Time,Visual Merchandiser,51617.61,66923.54,"$51,617-$66,923",Manawatu-Wanganui,Palmerston North,filled,2026-02-13 06:54:15,2026-03-19 06:54:15,False,Entry,654,5
94,7232,Hospitality,Chefs,Permanent,Full Time,Head Chef,74723.47,85053.27,"$74,723-$85,053",Auckland,Waitakere,expired,2023-10-02 18:09:54,2023-11-11 18:09:54,False,Mid,2227,6
95,7252,Technology,Product Managers,Temporary,Part Time,Mid Software Engineer,71338.83,88827.82,"$71,338-$88,827",Waikato,Taupo,filled,2025-12-25 18:55:49,2026-02-05 18:55:49,True,Mid,1036,3
96,8454,Retail,Merchandising,Permanent,Part Time,Visual Merchandiser,NULL,NULL,Negotiable,Nelson-Marlborough,Nelson,filled,2023-12-31 15:15:06,2024-01-19 15:15:06,False,Senior,3309,15
97,7520,Technology,Data Analysts,Permanent,Casual,Mid Software Engineer,79560.22,95782.83,"$79,560-$95,782",Auckland,Waitakere,expired,2025-02-16 01:31:20,2025-03-21 01:31:20,True,Mid,1725,6
98,8436,Legal,Paralegals,Temporary,Full Time,Senior Lawyer,100163.98,118279.33,$100k-$118k,Auckland,Papakura,expired,2025-10-23 02:26:02,2025-11-18 02:26:02,True,Senior,1305,2
99,7482,Technology,QA/Testing,Permanent,Full Time,Product Manager,75087.87,96142.44,"$75,087-$96,142",Wellington,Upper Hutt,closed,2024-01-20 17:37:22,2024-02-21 17:37:22,True,Mid,5258,4
100,8106,Agriculture,Viticulture,Permanent,Full Time,Farm Hand,126117.47,151237.55,$126k-$151k,Canterbury,Selwyn,closed,2026-07-18 00:16:50,2026-08-27 00:16:50,True,Senior,248,5
101,8036,Technology,Product Managers,Permanent,Full Time,Executive Software Engineer,164481.17,201136.79,$164k-$201k,Auckland,North Shore,filled,2024-12-24 18:02:31,2025-01-30 18:02:31,True,Executive,1652,26
102,8663,Manufacturing,Quality Control,Permanent,Part Time,Machine Operator,110966.43,128565.23,$110k-$128k,Auckland,Franklin,filled,2026-07-18 06:11:40,2026-08-16 06:11:40,True,Senior,179,4
103,7546,Manufacturing,Warehouse,Permanent,Casual,Machine Operator,65854.02,73489.86,"$65,854-$73,489",Canterbury,Christchurch,closed,2024-10-07 09:47:45,2024-11-14 09:47:45,True,Mid,1536,3
104,8904,Technology,System Administrators,Permanent,Full Time,Product Manager,124441.09,143755.38,$124k-$143k,Auckland,North Shore,closed,2024-05-04 01:10:25,2024-06-07 01:10:25,False,Senior,3888,3
105,8048,Healthcare,Pharmacists,Permanent,Part Time,Registered Nurse,108440.14,133068.74,$108k-$133k,Auckland,Auckland City,filled,2025-02-03 13:02:40,2025-03-07 13:02:40,False,Senior,2814,5
106,7994,Healthcare,Doctors,Contract,Full Time,General Practitioner,65251.67,84758.49,$40/hour,Manawatu-Wanganui,Feilding,closed,2023-11-14 14:22:41,2023-12-24 14:22:41,False,Mid,5507,6
107,7418,Hospitality,Events,Contract,Part Time,Restaurant Manager,68710.35,84315.14,$40/hour,Nelson-Marlborough,Nelson,filled,2025-11-10 06:23:29,2025-12-08 06:23:29,False,Mid,1084,1
108,8024,Manufacturing,Production Managers,Permanent,Full Time,Quality Controller,49705.33,57361.78,"$49,705-$57,361",Southland,Te Anau,expired,2024-09-16 04:08:11,2024-10-30 04:08:11,False,Entry,2201,6
109,7374,Technology,DevOps,Permanent,Casual,Junior DevOps Engineer,50113.15,57146.95,"$50,113-$57,146",Auckland,Manukau,expired,2023-10-12 02:22:17,2023-11-05 02:22:17,True,Entry,4269,4
110,7822,Accounting,Bookkeepers,Permanent,Part Time,Audit Manager,76231.47,91247.35,"$76,231-$91,247",Northland,Kaitaia,closed,2024-03-09 00:32:57,2024-04-16 00:32:57,False,Mid,5400,5
111,8331,Construction,Plumbers,Permanent,Full Time,Site Manager,79037.97,95255.54,"$79,037-$95,255",Canterbury,Selwyn,expired,2025-03-27 13:25:06,2025-04-19 13:25:06,False,Mid,2498,3
112,7442,Construction,Plumbers,Permanent,Full Time,Electrician,70241.27,87068.22,"$70,241-$87,068",Auckland,Manukau,filled,2024-11-04 11:41:56,2024-12-13 11:41:56,False,Mid,1540,3
113,7922,Legal,Paralegals,Permanent,Full Time,Legal Executive,107725.32,133691.81,$107k-$133k,Wellington,Upper Hutt,closed,2025-08-09 16:07:49,2025-08-23 16:07:49,True,Senior,1992,6
114,7500,Construction,Project Managers,Permanent,Full Time,Electrician,45794.78,54122.64,"$45,794-$54,122",Auckland,North Shore,filled,2025-12-09 17:31:00,2026-01-19 17:31:00,False,Entry,1305,6
115,7341,Education,Teacher Aides,Permanent,Full Time,Secondary Teacher,51942.67,65554.68,"$51,942-$65,554",Southland,Te Anau,closed,2024-05-14 21:45:14,2024-06-07 21:45:14,False,Entry,4407,4
116,8265,Construction,Project Managers,Contract,Full Time,Project Manager,73276.89,88968.55,$42/hour,Auckland,Franklin,filled,2025-12-20 02:30:39,2026-01-07 02:30:39,False,Mid,608,5
117,7900,Construction,Electricians,Temporary,Full Time,Project Manager,120738.92,146656.25,$120k-$146k,Wellington,Kapiti Coast,expired,2025-01-27 13:28:25,2025-03-07 13:28:25,False,Senior,2192,1
118,8203,Accounting,Financial Controllers,Contract,Full Time,Bookkeeper,69721.23,81576.79,$39/hour,Northland,Kerikeri,closed,2025-10-22 16:56:31,2025-12-01 16:56:31,False,Mid,862,2
119,8179,Construction,Site Managers,Permanent,Full Time,Electrician,79469.8,96620.0,"$79,469-$96,620",Auckland,Manukau,filled,2024-02-13 15:45:23,2024-03-28 15:45:23,False,Mid,2477,2
120,8002,Accounting,Tax Specialists,Permanent,Part Time,Audit Manager,74533.99,92645.17,"$74,533-$92,645",Auckland,Papakura,closed,2026-05-21 11:54:56,2026-06-28 11:54:56,False,Mid,406,5
121,9000,Hospitality,Events,Permanent,Casual,Head Chef,69595.18,86564.7,"$69,595-$86,564",Waikato,Hamilton,closed,2024-12-31 23:15:03,2025-01-24 23:15:03,False,Mid,1397,4
122,7308,Finance,Accountants,Permanent,Full Time,Accounts Manager,78663.42,101909.9,$78k-$101k,Auckland,Papakura,closed,2025-08-23 14:53:23,2025-10-02 14:53:23,True,Mid,1527,1
123,8261,Hospitality,Bar Staff,Contract,Full Time,Events Coordinator,121034.48,154340.5,$74/hour,Wellington,Lower Hutt,filled,2023-08-29 05:53:12,2023-09-27 05:53:12,True,Senior,5228,9
124,7620,Construction,Site Managers,Permanent,Full Time,Electrician,75040.25,89120.36,"$75,040-$89,120",Auckland,Auckland City,filled,2023-08-07 04:20:17,2023-08-23 04:20:17,False,Mid,2727,2
125,7502,Finance,Financial Analysts,Permanent,Part Time,Credit Controller,67867.53,79672.13,"$67,867-$79,672",Nelson-Marlborough,Nelson,expired,2025-03-05 00:43:47,2025-04-08 00:43:47,False,Mid,2782,1
126,8597,Construction,Carpenters,Contract,Full Time,Quantity Surveyor,75755.6,87764.87,$42/hour,Auckland,Manukau,filled,2024-10-06 18:16:39,2024-11-05 18:16:39,False,Mid,3457,2
127,8738,Technology,Data Analysts,Permanent,Full Time,Product Manager,70522.25,78710.78,"$70,522-$78,710",Manawatu-Wanganui,Whanganui,filled,2025-08-13 22:06:25,2025-08-31 22:06:25,True,Mid,1382,4
128,8988,Manufacturing,Production Managers,Permanent,Full Time,Quality Controller,102995.29,117696.67,$102k-$117k,Wellington,Wellington City,filled,2025-04-11 17:29:00,2025-04-29 17:29:00,False,Senior,2231,2
129,7695,Hospitality,Restaurant Managers,Contract,Full Time,Barista,106545.65,121278.91,$58/hour,Wellington,Kapiti Coast,expired,2025-09-14 07:26:00,2025-09-28 07:26:00,True,Senior,1848,4
130,7571,Agriculture,Farm Workers,Permanent,Full Time,Farm Manager,51312.11,66376.68,"$51,312-$66,376",West Coast,Hokitika,filled,2026-03-09 18:55:41,2026-04-04 18:55:41,False,Entry,937,1
131,8226,Healthcare,Allied Health,Permanent,Full Time,Healthcare Assistant,111990.53,125026.26,$111k-$125k,Canterbury,Waimakariri,filled,2025-05-04 06:00:45,2025-06-17 06:00:45,False,Senior,2933,2
132,7945,Healthcare,Mental Health,Permanent,Full Time,Registered Nurse,170671.38,207098.3,$170k-$207k,Manawatu-Wanganui,Feilding,closed,2024-06-08 02:40:33,2024-07-20 02:40:33,True,Executive,4195,2
133,8669,Hospitality,Chefs,Permanent,Full Time,Head Chef,49116.17,62516.36,"$49,116-$62,516",Wellington,Kapiti Coast,closed,2024-07-31 06:31:09,2024-09-05 06:31:09,False,Entry,2855,2
