listing_id,user_id,vehicle_type,make,model,year,mileage_km,fuel_type,transmission,body_type,colour,engine_cc,registration_status,asking_price,region,city,status,listed_date,sold_date,view_count,watchlist_count,enquiry_count
29,3217,Car,Toyota,Camry,2022,56696,Diesel,Automatic,Hatchback,Green,1500,Registered,22592.57,Auckland,North Shore,expired,2024-01-17 06:03:21,NULL,1211,279,78
30,8664,Car,Mazda,CX-5,2015,121526,Hybrid,Automatic,Ute,Grey,1500,Registered,13499.41,Canterbury,Christchurch,sold,2025-09-11 16:57:50,2025-09-21 16:57:50,1541,271,92
31,5490,Car,Nissan,Qashqai,2024,17519,Petrol,Automatic,Sedan,Red,1600,Registered,32491.28,Otago,Wanaka,expired,2025-09-03 23:34:42,NULL,1272,245,49
32,8892,Car,Toyota,Hilux,2012,162446,Petrol,Automatic,Van,Silver,1000,Registered,9447.54,Otago,Dunedin,expired,2024-11-11 04:22:13,NULL,1656,277,68
33,8848,Car,Toyota,Aqua,2018,128491,LPG,CVT,SUV,Grey,2500,Registered,17006.89,Canterbury,Christchurch,sold,2026-06-13 15:39:37,2026-06-19 15:39:37,176,43,12
34,8109,SUV,Honda,Civic,2020,48013,Petrol,Automatic,Ute,Silver,1200,Registered,23383.41,Wellington,Lower Hutt,sold,2025-04-23 06:47:48,2025-05-13 06:47:48,1124,202,29
35,7128,Motorcycle,Honda,Accord,2020,21212,Hybrid,Manual,Sedan,Grey,500,Registered,7397.26,Wellington,Porirua,sold,2024-08-12 05:27:57,2024-09-10 05:27:57,1815,319,94
36,646,SUV,Audi,A4,2014,113777,Petrol,CVT,Wagon,Green,1300,Registered,16064.22,Canterbury,Ashburton,withdrawn,2023-11-30 21:30:56,NULL,4045,1003,288
37,8435,Car,Toyota,Corolla,2024,27204,Electric,Manual,Van,Blue,NULL,Imported - Compliance Required,35090.2,Waikato,Cambridge,sold,2026-02-28 14:52:43,2026-03-10 14:52:43,395,96,11
38,7395,SUV,Hyundai,Tucson,2026,0,Petrol,Automatic,Convertible,Grey,2000,Registered,36520.65,Wellington,Lower Hutt,expired,2024-05-30 15:19:35,NULL,1600,169,118
39,8439,SUV,Holden,Cruze,2025,10575,Diesel,CVT,SUV,White,1300,Registered,33736.76,Bay of Plenty,Mount Maunganui,sold,2025-12-30 00:29:44,2026-01-03 00:29:44,547,125,42
40,5041,SUV,Ford,Focus,2018,70115,Diesel,Manual,Ute,Red,2200,Expired,19200.46,Wellington,Lower Hutt,withdrawn,2024-01-24 22:15:45,NULL,1460,243,90
41,7262,Car,Mercedes-Benz,CLA,2012,238057,Hybrid,Automatic,Ute,Grey,1600,Registered,12819.8,Auckland,Waitakere,sold,2025-02-01 18:52:51,2025-03-01 18:52:51,2236,292,56
42,7361,Ute,Mitsubishi,Triton,2010,227175,Diesel,Automatic,Hatchback,White,1000,Imported - Compliance Required,1500,Auckland,Manukau,sold,2026-01-05 01:21:30,2026-01-22 01:21:30,1018,156,57
43,242,Car,Subaru,WRX,2023,52969,Petrol,Automatic,Hatchback,Gold,2000,On Hold,29289.09,Auckland,North Shore,sold,2023-08-21 14:45:56,2023-09-30 14:45:56,2991,720,209
44,2108,Car,Subaru,Outback,2013,125880,Petrol,Automatic,Sedan,White,2000,Registered,11894.94,Taranaki,New Plymouth,sold,2024-03-17 08:09:06,2024-05-09 08:09:06,1127,109,87
45,8397,SUV,Nissan,Leaf,2015,163365,Petrol,Automatic,Ute,White,1600,Registered,10460.81,Auckland,Manukau,sold,2025-04-06 01:27:38,2025-04-18 01:27:38,1354,252,80
46,7085,SUV,Nissan,Qashqai,2018,66208,Hybrid,Manual,Hatchback,Grey,1500,Registered,15372.24,Auckland,Manukau,expired,2026-01-22 14:30:47,NULL,812,153,62
47,617,Car,Toyota,Corolla,2025,12336,Diesel,Automatic,Wagon,Silver,4000,Registered,28458.81,Manawatu-Wanganui,Whanganui,expired,2026-03-28 16:54:52,NULL,453,94,30
48,7413,Van,Mazda,CX-30,2021,48241,Diesel,Automatic,Coupe,Grey,1000,Registered,27576.07,Wellington,Upper Hutt,sold,2023-09-26 00:45:08,2023-10-12 00:45:08,3811,888,244
49,8476,Van,Holden,Trax,2021,87371,Petrol,Automatic,Sedan,Grey,2500,Registered,21697.99,Wellington,Lower Hutt,sold,2025-10-25 01:40:11,2025-12-14 01:40:11,818,102,17
50,9075,Car,Subaru,Legacy,2015,111734,Diesel,Automatic,SUV,White,1200,Registered,12121.54,Waikato,Taupo,expired,2024-06-30 09:20:02,NULL,955,121,67
51,7455,SUV,Subaru,WRX,2016,167666,Petrol,Automatic,Sedan,Orange,1200,Registered,11373.36,Taranaki,Stratford,expired,2023-10-16 20:28:08,NULL,2429,526,104
52,4302,Car,Ford,Fiesta,2016,85750,Petrol,Manual,Sedan,Black,2000,On Hold,10611.72,Taranaki,Hawera,active,2026-07-19 07:44:48,NULL,70,11,1
53,315,SUV,Mazda,CX-30,2018,131249,Petrol,Automatic,SUV,Gold,1000,Registered,20672.38,Otago,Dunedin,expired,2024-10-16 06:54:33,NULL,1348,248,87
54,7899,Car,Mercedes-Benz,CLA,2015,156463,Petrol,Automatic,Hatchback,White,1000,Registered,23117.27,West Coast,Hokitika,expired,2024-05-17 11:55:35,NULL,1242,189,56
55,8386,Car,Ford,Escape,2020,58551,Diesel,Automatic,SUV,Red,1600,Expired,26766.24,Gisborne,Gisborne,sold,2025-07-23 19:29:06,2025-08-21 19:29:06,517,45,39
56,9558,Car,Toyota,Land Cruiser,2020,50601,Petrol,CVT,Ute,White,1800,Registered,19064.36,Taranaki,Hawera,expired,2024-10-28 18:23:39,NULL,2472,405,191
57,8348,Motorcycle,Nissan,Pathfinder,2025,6342,Hybrid,Manual,Sedan,Red,125,Registered,11810.41,Wellington,Wellington City,sold,2026-07-14 00:10:01,2026-07-26 00:10:01,71,15,5
58,2973,Car,Holden,Astra,2018,76744,Petrol,Manual,Hatchback,Blue,1000,Imported - Compliance Required,19275.94,Canterbury,Ashburton,expired,2024-09-11 15:43:56,NULL,2495,259,169
59,8987,Car,Mitsubishi,Eclipse Cross,2021,80098,Petrol,CVT,Convertible,Blue,3500,Registered,24502.16,Canterbury,Selwyn,sold,2024-08-31 13:53:41,2024-09-10 13:53:41,1517,246,116
60,8321,Car,Mitsubishi,Eclipse Cross,2023,36161,Electric,Manual,Hatchback,Orange,NULL,Imported - Compliance Required,28628.82,Manawatu-Wanganui,Levin,expired,2025-06-02 12:23:36,NULL,1728,201,53
61,5242,Car,Nissan,Note,2019,119346,Hybrid,Automatic,Ute,Blue,1600,Registered,24572.97,Auckland,Franklin,sold,2026-02-17 10:03:27,2026-02-24 10:03:27,653,82,51
62,3238,SUV,Holden,Commodore,2023,25824,Electric,Automatic,Hatchback,Silver,NULL,Registered,24014.75,Wellington,Upper Hutt,sold,2026-05-26 01:54:17,2026-06-20 01:54:17,129,21,8
63,6417,Boat,Toyota,Corolla,2018,86923,Petrol,Automatic,Sedan,Silver,1800,Registered,27458.12,Auckland,Auckland City,sold,2025-07-22 21:16:00,2025-09-10 21:16:00,910,121,34
64,7150,Motorhome,Hyundai,Tucson,2026,0,Hybrid,CVT,SUV,Red,2500,Registered,32944.95,West Coast,Greymouth,withdrawn,2025-02-10 12:44:39,NULL,1896,266,108
65,1672,Car,Toyota,Land Cruiser,2021,48367,Electric,CVT,Ute,Blue,NULL,On Hold,24030.78,Wellington,Wellington City,expired,2025-07-02 04:58:16,NULL,1154,268,70
66,8101,Van,Nissan,Qashqai,2024,22184,Petrol,Automatic,Hatchback,White,1000,Registered,26896.4,Waikato,Taupo,expired,2024-07-26 03:51:55,NULL,1760,409,75
67,8843,SUV,Suzuki,Swift,2023,46172,Electric,Manual,Hatchback,Bronze,NULL,Registered,29927.47,Wellington,Upper Hutt,sold,2024-07-07 11:40:57,2024-09-03 11:40:57,1637,165,121
68,7949,Car,Ford,Mustang,2024,34845,Hybrid,Automatic,Ute,Red,1800,Registered,27362.84,Auckland,Waitakere,expired,2025-05-14 02:28:44,NULL,1906,442,94
69,1878,Boat,Toyota,Yaris,2018,70083,Petrol,CVT,Wagon,Silver,1500,Registered,41843.4,Auckland,Auckland City,sold,2026-01-09 08:06:40,2026-01-17 08:06:40,516,106,14
70,8770,Van,Mitsubishi,Eclipse Cross,2011,232263,Petrol,Automatic,SUV,Silver,2200,Registered,7044.01,Bay of Plenty,Tauranga,expired,2023-12-07 16:28:38,NULL,1642,408,59
71,8256,Boat,Mitsubishi,Eclipse Cross,2013,172170,Hybrid,Automatic,Ute,White,2500,Expired,23565.19,Northland,Kaitaia,expired,2025-01-10 15:12:14,NULL,763,142,20
72,7660,Ute,Subaru,Outback,2026,0,Hybrid,CVT,Hatchback,White,2000,Registered,33745.41,Auckland,Auckland City,sold,2024-03-10 11:53:48,2024-04-01 11:53:48,3378,320,260
73,4801,Car,Toyota,Land Cruiser,2026,0,Petrol,Automatic,Hatchback,Green,1600,Registered,38860.14,Auckland,Franklin,expired,2023-08-14 00:42:33,NULL,2549,522,57
74,8611,Motorhome,Mitsubishi,Triton,2026,0,Petrol,Automatic,Wagon,Green,1500,Expired,30034.63,Auckland,Auckland City,expired,2023-10-10 20:17:49,NULL,3375,312,169
75,2534,Boat,Toyota,Corolla,2024,29559,Petrol,Automatic,SUV,Silver,1300,Registered,57889.84,Bay of Plenty,Tauranga,sold,2026-06-04 18:05:23,2026-07-11 18:05:23,172,31,6
76,8198,Car,Mazda,MX-5,2020,93634,Petrol,Automatic,SUV,Red,2500,Registered,23149.72,Canterbury,Christchurch,sold,2026-03-15 00:42:37,2026-04-08 00:42:37,395,43,9
77,8937,Car,Toyota,C-HR,2014,136559,Hybrid,Automatic,Sedan,Silver,1500,Registered,8139.2,Northland,Paihia,sold,2024-08-06 13:29:47,2024-10-05 13:29:47,2826,362,186
78,4460,SUV,Honda,Jazz,2023,48170,Petrol,CVT,Hatchback,Bronze,4000,Registered,29005.45,Wellington,Upper Hutt,active,2026-07-21 23:51:03,NULL,113,24,6
79,7381,Car,Holden,Colorado,2010,163313,Petrol,Automatic,SUV,Silver,1600,Registered,1703.73,Manawatu-Wanganui,Palmerston North,expired,2026-06-14 06:56:28,NULL,260,27,5
80,9285,Boat,Ford,Everest,2025,15689,Hybrid,Automatic,SUV,Red,1300,On Hold,54602.1,Hawkes Bay,Napier,sold,2024-11-04 03:15:38,2024-11-11 03:15:38,2294,240,112
81,8291,Car,Mazda,MX-5,2017,151367,Petrol,Manual,Coupe,Silver,1800,Registered,19177.56,Auckland,Franklin,withdrawn,2025-12-10 17:47:58,NULL,1034,216,74
82,7312,Car,Mitsubishi,Lancer,2012,191865,LPG,CVT,Convertible,Green,1000,Registered,4220.37,Manawatu-Wanganui,Feilding,sold,2024-09-01 12:34:46,2024-10-31 12:34:46,2012,257,107
83,7681,Ute,Audi,A1,2025,14355,Petrol,Manual,SUV,Silver,2000,Registered,47752.36,Auckland,Franklin,sold,2026-06-20 15:37:54,2026-07-04 15:37:54,153,33,3
84,3182,Car,Ford,Mustang,2025,15642,Petrol,Automatic,SUV,White,1800,Registered,33093.94,Auckland,Papakura,sold,2025-09-05 21:05:29,2025-10-17 21:05:29,1240,219,75
85,9392,Car,Holden,Cruze,2022,40612,Petrol,Automatic,Hatchback,Blue,1500,Registered,24607.28,Auckland,North Shore,sold,2024-11-27 07:36:18,2024-12-08 07:36:18,1028,137,66
86,7020,Car,Mazda,CX-5,2021,63615,Petrol,Manual,Hatchback,Gold,1600,Registered,22261.48,Auckland,Manukau,sold,2024-04-03 18:39:25,2024-05-07 18:39:25,4218,360,90
87,854,Car,Mercedes-Benz,GLC,2019,83630,Petrol,Automatic,SUV,Grey,1000,On Hold,37508.47,Auckland,Auckland City,sold,2024-06-24 09:08:47,2024-08-08 09:08:47,2109,363,111
88,801,SUV,Ford,Focus,2020,74639,Hybrid,CVT,SUV,Red,3000,Registered,20077.46,Canterbury,Timaru,sold,2025-10-12 02:08:12,2025-11-22 02:08:12,508,123,35
89,2415,Motorcycle,Toyota,Land Cruiser,2025,6727,Diesel,Manual,SUV,Grey,600,Registered,11882.5,Bay of Plenty,Whakatane,sold,2024-08-10 07:59:21,2024-10-07 07:59:21,2923,647,175
90,4929,Car,Hyundai,Ioniq,2017,77370,Hybrid,Automatic,SUV,Red,4000,Registered,19753.72,Manawatu-Wanganui,Whanganui,expired,2026-03-09 04:03:08,NULL,603,123,17
91,6425,Car,Kia,Cerato,2023,49035,Petrol,CVT,Hatchback,White,1500,Registered,31825.38,Waikato,Rotorua,expired,2023-08-03 10:56:51,NULL,2498,556,60
92,9052,Car,Toyota,Camry,2024,20861,Petrol,Manual,Coupe,Gold,1500,Registered,33903.94,Auckland,Waitakere,expired,2024-11-16 10:23:08,NULL,806,169,59
93,8230,Motorcycle,Kia,Cerato,2015,42346,Hybrid,Automatic,Hatchback,Grey,1200,Registered,6131.24,Auckland,Manukau,sold,2026-06-14 08:13:31,2026-07-02 08:13:31,263,35,12
94,7783,Car,Mazda,CX-3,2026,0,Petrol,CVT,Wagon,Blue,1500,On Hold,34035.52,Otago,Queenstown,expired,2026-03-05 03:46:06,NULL,804,75,26
95,955,Car,Nissan,Pathfinder,2017,151299,Petrol,Automatic,Ute,Red,1600,Registered,15889.43,Canterbury,Timaru,expired,2025-10-17 08:07:55,NULL,1439,339,109
96,7245,Motorcycle,Audi,A1,2025,5310,Diesel,Automatic,Hatchback,White,500,Registered,20311.3,Auckland,North Shore,sold,2024-12-14 23:22:51,2025-01-08 23:22:51,1774,291,66
97,3218,Car,Nissan,Navara,2013,139326,Diesel,Automatic,SUV,Orange,3500,Registered,12660.7,Auckland,Franklin,expired,2026-04-14 08:24:57,NULL,510,43,27
98,7862,SUV,Mazda,Mazda2,2025,10256,Diesel,Automatic,Hatchback,Black,4000,Registered,36120.64,Canterbury,Selwyn,sold,2025-11-22 15:31:42,2025-12-18 15:31:42,284,70,7
99,7275,Car,Mazda,BT-50,2013,212298,Hybrid,Manual,Convertible,Blue,2500,Registered,12409.66,Southland,Invercargill,sold,2025-09-23 20:29:25,2025-11-21 20:29:25,1326,155,27
100,3036,Motorcycle,Mercedes-Benz,CLA,2020,38858,Petrol,CVT,Convertible,Green,300,Registered,11819.95,Canterbury,Christchurch,sold,2025-12-26 06:57:01,2026-01-19 06:57:01,814,174,23
101,9997,Motorcycle,Ford,Everest,2022,18143,Petrol,Manual,SUV,Grey,500,Registered,9782.72,Hawkes Bay,Hastings,withdrawn,2024-03-29 18:39:48,NULL,4227,570,299
102,7817,Motorcycle,Mercedes-Benz,C-Class,2021,24596,Hybrid,Automatic,Hatchback,Grey,1200,Registered,14065.02,Canterbury,Selwyn,withdrawn,2024-08-23 00:54:46,NULL,3592,324,127
103,7786,Car,Honda,CR-V,2015,88878,Diesel,Automatic,Sedan,White,3500,Registered,8077.41,Auckland,Auckland City,active,2026-07-16 21:17:31,NULL,122,20,6
104,1057,SUV,Kia,Sportage,2018,102185,Petrol,Manual,SUV,Silver,2500,Registered,21315.25,Bay of Plenty,Whakatane,sold,2025-05-06 17:26:32,2025-06-22 17:26:32,2117,294,42
105,6621,SUV,Honda,HR-V,2014,130215,Petrol,Automatic,Sedan,Red,3500,Imported - Compliance Required,15711.41,Northland,Paihia,sold,2024-04-26 06:16:00,2024-06-23 06:16:00,3064,569,74
106,5917,Car,Toyota,Camry,2025,16438,Petrol,Automatic,Ute,White,4000,On Hold,36579.22,Wellington,Upper Hutt,sold,2024-04-10 10:06:13,2024-04-24 10:06:13,2329,271,109
107,9184,Car,Mazda,CX-9,2019,81300,Petrol,CVT,Ute,Silver,3000,Registered,23092.07,Wellington,Upper Hutt,expired,2025-02-11 14:43:58,NULL,1198,299,85
108,6387,Car,Toyota,Corolla,2022,45975,Petrol,Manual,Sedan,Bronze,2500,Registered,31997.67,Waikato,Hamilton,sold,2026-06-28 08:49:11,2026-07-05 08:49:11,184,40,5
109,5911,Car,Holden,Trax,2023,33387,Petrol,Automatic,Coupe,Red,1600,On Hold,28319.01,Bay of Plenty,Whakatane,expired,2024-09-23 22:11:06,NULL,1942,432,127
110,6792,Motorcycle,BMW,1 Series,2022,23820,Petrol,Manual,Coupe,Grey,900,Registered,16923.13,Auckland,Auckland City,expired,2025-06-29 00:22:45,NULL,1236,121,65
111,7719,SUV,Mazda,Mazda2,2023,38081,Petrol,Manual,Wagon,Blue,1800,Registered,25875.86,Hawkes Bay,Hastings,sold,2023-11-14 19:22:16,2024-01-03 19:22:16,3208,670,127
112,8403,Motorcycle,Hyundai,Kona,2015,42864,Hybrid,Manual,Ute,Blue,1000,On Hold,5675.13,Wellington,Lower Hutt,sold,2026-01-09 08:51:18,2026-02-22 08:51:18,962,97,64
113,2547,Motorcycle,Honda,City,2017,32694,Petrol,Automatic,SUV,Silver,900,On Hold,7038.39,Taranaki,Hawera,sold,2023-09-21 22:35:18,2023-10-18 22:35:18,3137,509,204
114,7204,Motorcycle,Mazda,Mazda2,2018,39298,Diesel,Manual,SUV,Black,650,Registered,6277.52,Canterbury,Ashburton,withdrawn,2025-09-12 08:16:46,NULL,769,146,17
115,7594,SUV,Audi,Q3,2026,0,Petrol,Automatic,Hatchback,White,1200,On Hold,50618.61,Auckland,Waitakere,expired,2024-06-04 09:31:46,NULL,977,235,19
116,7591,Car,Mercedes-Benz,A-Class,2023,33375,Petrol,Automatic,Van,Blue,1000,Registered,49998.07,Auckland,Papakura,withdrawn,2023-12-30 18:26:27,NULL,3004,302,228
117,9636,SUV,Toyota,Hilux,2020,87406,Electric,Automatic,SUV,Orange,NULL,Registered,18852.49,Bay of Plenty,Rotorua,expired,2024-02-01 23:15:38,NULL,1596,384,94
118,7406,Motorcycle,Toyota,Aqua,2025,6933,Petrol,Automatic,Wagon,Blue,900,Registered,13691.24,Auckland,Waitakere,expired,2025-01-23 13:07:44,NULL,1814,402,61
119,389,Ute,Mitsubishi,Triton,2013,179755,Petrol,Automatic,SUV,Blue,4000,Registered,4407.03,Bay of Plenty,Rotorua,expired,2024-11-17 13:19:00,NULL,2283,285,96
120,8791,SUV,Toyota,Camry,2021,58777,Petrol,CVT,Hatchback,White,1200,On Hold,25075.3,Wellington,Upper Hutt,sold,2024-08-22 23:49:02,2024-10-20 23:49:02,2802,246,175
121,7960,Ute,Ford,Falcon,2018,105822,Hybrid,Manual,Ute,Gold,3000,Registered,15970.25,Wellington,Upper Hutt,sold,2025-05-28 16:53:21,2025-07-02 16:53:21,1683,152,114
122,5007,Motorcycle,Mitsubishi,Outlander,2019,44210,Diesel,Manual,SUV,Black,300,On Hold,8902.13,Wellington,Upper Hutt,expired,2024-04-04 17:28:00,NULL,1627,353,74
123,7048,Motorcycle,Hyundai,Ioniq,2026,0,Hybrid,Manual,Hatchback,Silver,900,Registered,15275.41,Auckland,North Shore,sold,2024-03-09 22:34:51,2024-03-18 22:34:51,3164,671,104
124,7930,Van,Subaru,Outback,2007,220209,Petrol,Automatic,Wagon,Black,2200,Registered,1500,Auckland,Manukau,expired,2024-10-17 17:18:51,NULL,3142,623,125
125,8885,Van,Mazda,BT-50,2016,90817,Electric,Automatic,Sedan,Grey,NULL,Registered,16644.64,Auckland,Auckland City,withdrawn,2025-04-03 04:36:11,NULL,1629,270,85
126,7226,Motorcycle,Hyundai,Santa Fe,2014,40833,Hybrid,CVT,Sedan,Red,1200,Registered,4113.12,Auckland,Waitakere,active,2026-07-22 09:02:24,NULL,53,7,1
127,1302,Car,Kia,Sorento,2014,127766,Hybrid,Automatic,Coupe,Bronze,1500,Registered,11941.25,Manawatu-Wanganui,Palmerston North,withdrawn,2026-06-09 09:15:18,NULL,262,23,5
128,3072,Motorcycle,Toyota,C-HR,2026,0,Petrol,Automatic,Van,White,750,Registered,12735.39,Bay of Plenty,Rotorua,sold,2023-10-31 02:18:02,2023-11-23 02:18:02,3270,500,85
129,7705,SUV,Kia,Seltos,2021,47985,Petrol,Manual,Sedan,Silver,1500,Registered,25173.38,Taranaki,Hawera,sold,2026-07-22 18:19:27,2026-07-25 18:19:27,123,26,6
130,7813,Motorcycle,Ford,Falcon,2015,49804,Petrol,Manual,SUV,Black,1000,Registered,4498.22,Waikato,Hamilton,expired,2025-11-21 01:34:49,NULL,861,195,56
131,7623,Car,Toyota,C-HR,2025,16986,Petrol,Manual,SUV,Black,1200,Registered,30902.94,Hawkes Bay,Hastings,sold,2024-12-10 09:00:18,2025-02-07 09:00:18,1000,129,46
132,9521,Ute,Holden,Colorado,2019,106964,Petrol,Manual,Van,Gold,4000,Registered,16786.13,Manawatu-Wanganui,Feilding,expired,2024-10-18 16:53:18,NULL,2373,571,88
133,1797,Car,Mazda,Mazda2,2016,147903,Petrol,Automatic,Hatchback,Silver,1500,Expired,17459.84,Hawkes Bay,Hastings,sold,2025-08-01 10:39:35,2025-08-23 10:39:35,1782,210,110
134,8195,Car,Suzuki,Jimny,2020,49775,Diesel,Automatic,Hatchback,Blue,1000,Registered,20695.14,Northland,Kaitaia,sold,2026-04-04 14:35:45,2026-05-22 14:35:45,612,92,36
135,8679,Boat,Mercedes-Benz,CLA,2023,27096,Hybrid,Automatic,SUV,Grey,1200,Registered,71911.22,Auckland,North Shore,expired,2024-06-26 16:13:23,NULL,3671,662,203
136,2091,Motorhome,Subaru,Forester,2014,206190,Petrol,Automatic,SUV,White,2200,Registered,12103.11,Manawatu-Wanganui,Palmerston North,sold,2023-11-16 12:27:30,2024-01-12 12:27:30,2812,369,87
137,8233,Car,Honda,Fit,2024,25129,Petrol,Manual,Van,Silver,3500,Registered,26535.03,Canterbury,Selwyn,sold,2024-11-21 02:11:46,2024-12-20 02:11:46,1864,298,140
138,7049,Car,Mazda,BT-50,2026,0,Diesel,Manual,Coupe,White,2000,Registered,31557.83,Hawkes Bay,Napier,sold,2025-11-29 17:30:09,2026-01-13 17:30:09,1242,239,84
139,1451,SUV,Nissan,Note,2025,15616,Petrol,Automatic,Hatchback,White,1500,Registered,35892.45,Auckland,Auckland City,sold,2025-02-13 17:40:46,2025-03-17 17:40:46,1441,270,78
